,전체,전체,전체,25℃이상,25℃이상,25℃이상
h,1,3,7,1,3,7
config,,,,,,
3년(2021~23)|기존모델|여름전체,0.43211459199397545,0.9577624477204749,1.5827058542724655,0.3949986249587575,0.9487560870183519,1.69676523241189
3년(2021~23)|기존모델|20℃+,0.4291539457414863,0.9531054634502849,1.5836301568466173,0.39118341100553106,0.9373459286431639,1.6906615546028503
3년(2021~23)|기존모델|24℃+,0.43378373905994105,0.975245302265235,1.6007391126815858,0.39388335308685374,0.9696035961343182,1.7051659253132014
3년(2021~23)|기존모델|26℃+,0.43990276703686604,0.9976639404691079,1.6213588494318765,0.42008246744743016,1.0418331673684929,1.7570916030671189
3년(2021~23)|기존+기간평균패턴|여름전체,0.43295523723243023,0.9463923514024217,1.5707201426433162,0.4097295589222464,0.966376249689007,1.715540616484055
3년(2021~23)|기존+기간평균패턴|20℃+,0.42936764952508816,0.9383006489345724,1.5621039357274247,0.4067718352851772,0.9582728643088345,1.6965228440892137
3년(2021~23)|기존+기간평균패턴|24℃+,0.437903246292815,0.9801836782196421,1.6849332024307824,0.41926555760348805,1.0433507723518205,1.8674853738412014
3년(2021~23)|기존+기간평균패턴|26℃+,0.6964983975468655,1.4260718120012474,2.0572753688540626,1.0563407396766933,2.0741549803535566,2.860707144233066
3년(2021~23)|5일패턴:수온+기온+풍속+강수|여름전체,0.42835557806185653,0.9332544702732128,1.5491570888837494,0.4016108560089349,0.9587297513968231,1.7273279181652537
3년(2021~23)|5일패턴:수온+기온+풍속+강수|20℃+,0.42560861342630935,0.9284207529368034,1.5383846282560145,0.39796268101472576,0.9516504907731654,1.7292353137022685
3년(2021~23)|5일패턴:수온+기온+풍속+강수|24℃+,0.4351653095963225,0.9688572292755984,1.6458904600876134,0.41724498240646496,1.0500197355433718,1.9292941446218075
3년(2021~23)|5일패턴:수온+기온+풍속+강수|26℃+,0.4676954255746357,1.0447019780819358,1.642393176108923,0.5330163602317012,1.3025221030135747,2.030387372011935
장기(2012~23)|기존모델|여름전체,0.43096083485371817,0.9513230659426668,1.559793056455233,0.4033771474126775,0.9826154926121697,1.7782791748484734
장기(2012~23)|기존모델|20℃+,0.4292756321473062,0.9483805182792012,1.5523381791743276,0.4010738434868619,0.9746655724079951,1.7659388530340068
장기(2012~23)|기존모델|24℃+,0.4291868079149824,0.9538600731359903,1.5742988520726722,0.401193826812759,1.001323366079165,1.850316100131745
장기(2012~23)|기존모델|26℃+,0.43489319721592434,0.9786067177662752,1.6132784887825844,0.41324644555092904,1.0586662718939177,1.9078676348784622
장기(2012~23)|기존+기간평균패턴|여름전체,0.42340848207843645,0.9100018838708498,1.4575553420000578,0.41375202464948024,0.9913625622370195,1.7418283271937605
장기(2012~23)|기존+기간평균패턴|20℃+,0.4216766907027308,0.9068052294308604,1.4473477515910838,0.40895260682327095,0.9715002027708829,1.6979849501858704
장기(2012~23)|기존+기간평균패턴|24℃+,0.4203516253678782,0.8977835535136842,1.4442171765235303,0.40029412265427444,0.9630669037201137,1.71143917347194
장기(2012~23)|기존+기간평균패턴|26℃+,0.44047244721624457,0.9886323557304948,1.553531903802952,0.45339168399164653,1.175922862032852,1.9757213388100405
장기(2012~23)|5일패턴:수온+기온+풍속+강수|여름전체,0.4257900126091347,0.9228415692688081,1.499153779691778,0.41274781245831704,1.0007703212538877,1.8075668310486386
장기(2012~23)|5일패턴:수온+기온+풍속+강수|20℃+,0.4237191533730769,0.9192383331649009,1.4889314431141205,0.4092727202067517,0.9872412059863013,1.7826585796647403
장기(2012~23)|5일패턴:수온+기온+풍속+강수|24℃+,0.4254675845981327,0.9296325818133118,1.518356155872714,0.4113892230876732,1.0228765503900794,1.8869283015701432
장기(2012~23)|5일패턴:수온+기온+풍속+강수|26℃+,0.43627240250798893,0.9715519219550862,1.5845336318418208,0.44555663577230387,1.150071273942764,2.0448237646885223
