region_code,region,date,air_temp_forecast_mean,air_temp_forecast_min,air_temp_forecast_max,wind_speed_forecast_mean,rain_forecast_sum,n_tmp,n_wsd,n_pcp
wando,완도,2026-09-17,22.833333333333332,21.0,25.0,4.825,0.0,12,12,12
wando,완도,2026-09-18,20.125,19.0,22.0,4.2749999999999995,8.0,24,24,18
wando,완도,2026-09-19,21.166666666666668,18.0,25.0,3.3791666666666664,0.0,24,24,24
wando,완도,2026-09-20,21.125,18.0,25.0,1.25,0.0,8,8,8
wando,완도,2026-09-21,19.0,19.0,19.0,1.0,0.0,1,1,1
