region_code,region,base_date,base_time,forecast_datetime,category,value,nx,ny
tongyeong,통영,20260917,1100,2026-09-17 22:00:00,TMP,22,86,67
tongyeong,통영,20260917,1100,2026-09-17 22:00:00,WSD,3.8,86,67
tongyeong,통영,20260917,1100,2026-09-17 22:00:00,PCP,강수없음,86,67
tongyeong,통영,20260917,1100,2026-09-17 23:00:00,TMP,22,86,67
tongyeong,통영,20260917,1100,2026-09-17 23:00:00,WSD,3.8,86,67
tongyeong,통영,20260917,1100,2026-09-17 23:00:00,PCP,강수없음,86,67
tongyeong,통영,20260917,1100,2026-09-18 00:00:00,TMP,22,86,67
tongyeong,통영,20260917,1100,2026-09-18 00:00:00,WSD,3.5,86,67
tongyeong,통영,20260917,1100,2026-09-18 00:00:00,PCP,강수없음,86,67
tongyeong,통영,20260917,1100,2026-09-18 01:00:00,TMP,22,86,67
tongyeong,통영,20260917,1100,2026-09-18 01:00:00,WSD,3.8,86,67
tongyeong,통영,20260917,1100,2026-09-18 01:00:00,PCP,강수없음,86,67
tongyeong,통영,20260917,1100,2026-09-18 02:00:00,TMP,22,86,67
tongyeong,통영,20260917,1100,2026-09-18 02:00:00,WSD,3.9,86,67
tongyeong,통영,20260917,1100,2026-09-18 02:00:00,PCP,강수없음,86,67
tongyeong,통영,20260917,1100,2026-09-18 03:00:00,TMP,22,86,67
tongyeong,통영,20260917,1100,2026-09-18 03:00:00,WSD,4.2,86,67
tongyeong,통영,20260917,1100,2026-09-18 03:00:00,PCP,강수없음,86,67
tongyeong,통영,20260917,1100,2026-09-18 04:00:00,TMP,22,86,67
tongyeong,통영,20260917,1100,2026-09-18 04:00:00,WSD,4.3,86,67
tongyeong,통영,20260917,1100,2026-09-18 04:00:00,PCP,강수없음,86,67
tongyeong,통영,20260917,1100,2026-09-18 05:00:00,TMP,21,86,67
tongyeong,통영,20260917,1100,2026-09-18 05:00:00,WSD,4.5,86,67
tongyeong,통영,20260917,1100,2026-09-18 05:00:00,PCP,강수없음,86,67
tongyeong,통영,20260917,1100,2026-09-18 06:00:00,TMP,21,86,67
tongyeong,통영,20260917,1100,2026-09-18 06:00:00,WSD,4.2,86,67
tongyeong,통영,20260917,1100,2026-09-18 06:00:00,PCP,강수없음,86,67
tongyeong,통영,20260917,1100,2026-09-18 07:00:00,TMP,21,86,67
tongyeong,통영,20260917,1100,2026-09-18 07:00:00,WSD,4.4,86,67
tongyeong,통영,20260917,1100,2026-09-18 07:00:00,PCP,2.0mm,86,67
tongyeong,통영,20260917,1100,2026-09-18 08:00:00,TMP,21,86,67
tongyeong,통영,20260917,1100,2026-09-18 08:00:00,WSD,4.3,86,67
tongyeong,통영,20260917,1100,2026-09-18 08:00:00,PCP,1.0mm,86,67
tongyeong,통영,20260917,1100,2026-09-18 09:00:00,TMP,22,86,67
tongyeong,통영,20260917,1100,2026-09-18 09:00:00,WSD,4.9,86,67
tongyeong,통영,20260917,1100,2026-09-18 09:00:00,PCP,1mm 미만,86,67
tongyeong,통영,20260917,1100,2026-09-18 10:00:00,TMP,22,86,67
tongyeong,통영,20260917,1100,2026-09-18 10:00:00,WSD,5.1,86,67
tongyeong,통영,20260917,1100,2026-09-18 10:00:00,PCP,1mm 미만,86,67
tongyeong,통영,20260917,1100,2026-09-18 11:00:00,TMP,23,86,67
tongyeong,통영,20260917,1100,2026-09-18 11:00:00,WSD,5,86,67
tongyeong,통영,20260917,1100,2026-09-18 11:00:00,PCP,2.0mm,86,67
tongyeong,통영,20260917,1100,2026-09-18 12:00:00,TMP,23,86,67
tongyeong,통영,20260917,1100,2026-09-18 12:00:00,WSD,4.7,86,67
tongyeong,통영,20260917,1100,2026-09-18 12:00:00,PCP,1.0mm,86,67
tongyeong,통영,20260917,1100,2026-09-18 13:00:00,TMP,23,86,67
tongyeong,통영,20260917,1100,2026-09-18 13:00:00,WSD,5.5,86,67
tongyeong,통영,20260917,1100,2026-09-18 13:00:00,PCP,1mm 미만,86,67
tongyeong,통영,20260917,1100,2026-09-18 14:00:00,TMP,23,86,67
tongyeong,통영,20260917,1100,2026-09-18 14:00:00,WSD,5.4,86,67
tongyeong,통영,20260917,1100,2026-09-18 14:00:00,PCP,1mm 미만,86,67
tongyeong,통영,20260917,1100,2026-09-18 15:00:00,TMP,23,86,67
tongyeong,통영,20260917,1100,2026-09-18 15:00:00,WSD,4.1,86,67
tongyeong,통영,20260917,1100,2026-09-18 15:00:00,PCP,1mm 미만,86,67
tongyeong,통영,20260917,1100,2026-09-18 16:00:00,TMP,22,86,67
tongyeong,통영,20260917,1100,2026-09-18 16:00:00,WSD,3.6,86,67
tongyeong,통영,20260917,1100,2026-09-18 16:00:00,PCP,1mm 미만,86,67
tongyeong,통영,20260917,1100,2026-09-18 17:00:00,TMP,22,86,67
tongyeong,통영,20260917,1100,2026-09-18 17:00:00,WSD,3.5,86,67
tongyeong,통영,20260917,1100,2026-09-18 17:00:00,PCP,2.0mm,86,67
tongyeong,통영,20260917,1100,2026-09-18 18:00:00,TMP,22,86,67
tongyeong,통영,20260917,1100,2026-09-18 18:00:00,WSD,3.6,86,67
tongyeong,통영,20260917,1100,2026-09-18 18:00:00,PCP,1mm 미만,86,67
tongyeong,통영,20260917,1100,2026-09-18 19:00:00,TMP,21,86,67
tongyeong,통영,20260917,1100,2026-09-18 19:00:00,WSD,3.8,86,67
tongyeong,통영,20260917,1100,2026-09-18 19:00:00,PCP,강수없음,86,67
tongyeong,통영,20260917,1100,2026-09-18 20:00:00,TMP,21,86,67
tongyeong,통영,20260917,1100,2026-09-18 20:00:00,WSD,4.7,86,67
tongyeong,통영,20260917,1100,2026-09-18 20:00:00,PCP,강수없음,86,67
tongyeong,통영,20260917,1100,2026-09-18 21:00:00,TMP,21,86,67
tongyeong,통영,20260917,1100,2026-09-18 21:00:00,WSD,3.9,86,67
tongyeong,통영,20260917,1100,2026-09-18 21:00:00,PCP,강수없음,86,67
tongyeong,통영,20260917,1100,2026-09-18 22:00:00,TMP,21,86,67
tongyeong,통영,20260917,1100,2026-09-18 22:00:00,WSD,3.9,86,67
tongyeong,통영,20260917,1100,2026-09-18 22:00:00,PCP,강수없음,86,67
tongyeong,통영,20260917,1100,2026-09-18 23:00:00,TMP,21,86,67
tongyeong,통영,20260917,1100,2026-09-18 23:00:00,WSD,3.6,86,67
tongyeong,통영,20260917,1100,2026-09-18 23:00:00,PCP,강수없음,86,67
tongyeong,통영,20260917,1100,2026-09-19 00:00:00,TMP,21,86,67
tongyeong,통영,20260917,1100,2026-09-19 00:00:00,WSD,3.5,86,67
tongyeong,통영,20260917,1100,2026-09-19 00:00:00,PCP,강수없음,86,67
tongyeong,통영,20260917,1100,2026-09-19 01:00:00,TMP,21,86,67
tongyeong,통영,20260917,1100,2026-09-19 01:00:00,WSD,3.7,86,67
tongyeong,통영,20260917,1100,2026-09-19 01:00:00,PCP,강수없음,86,67
