period,model,margin,ev,hit,fa,day_err,recall,precision,F1
A:2024~25,예보일값|계절O,0.5,69,32,19,1.5625,0.463768115942029,0.6274509803921569,0.5333333333333333
A:2024~25,예보일값|계절O,0.75,69,39,23,1.8974358974358974,0.5652173913043478,0.6290322580645161,0.5954198473282443
A:2024~25,예보일값|계절O,1.0,69,44,38,2.022727272727273,0.6376811594202898,0.5365853658536586,0.5827814569536424
A:2024~25,예보일값|계절X,0.5,69,32,18,1.59375,0.463768115942029,0.64,0.5378151260504201
A:2024~25,예보일값|계절X,0.75,69,42,30,1.9523809523809523,0.6086956521739131,0.5833333333333334,0.5957446808510638
A:2024~25,예보일값|계절X,1.0,69,44,38,2.0681818181818183,0.6376811594202898,0.5365853658536586,0.5827814569536424
A:2024~25,최근7일평균|계절O,0.5,69,31,13,1.5161290322580645,0.4492753623188406,0.7045454545454546,0.5486725663716814
A:2024~25,최근7일평균|계절O,0.75,69,36,25,1.6388888888888888,0.5217391304347826,0.5901639344262295,0.5538461538461539
A:2024~25,최근7일평균|계절O,1.0,69,42,31,2.0,0.6086956521739131,0.5753424657534246,0.5915492957746479
A:2024~25,최근7일평균|계절X,0.5,69,31,16,1.5161290322580645,0.4492753623188406,0.6595744680851063,0.5344827586206896
A:2024~25,최근7일평균|계절X,0.75,69,36,27,1.6666666666666667,0.5217391304347826,0.5714285714285714,0.5454545454545454
A:2024~25,최근7일평균|계절X,1.0,69,42,36,2.0238095238095237,0.6086956521739131,0.5384615384615384,0.5714285714285714
A:2024~25,평년값|계절O,0.5,69,21,5,1.1904761904761905,0.30434782608695654,0.8076923076923077,0.4421052631578947
A:2024~25,평년값|계절O,0.75,69,27,11,1.5185185185185186,0.391304347826087,0.7105263157894737,0.5046728971962616
A:2024~25,평년값|계절O,1.0,69,36,14,1.9722222222222223,0.5217391304347826,0.72,0.6050420168067226
A:2024~25,평년값|계절X,0.5,69,22,7,1.2727272727272727,0.3188405797101449,0.7586206896551724,0.4489795918367347
A:2024~25,평년값|계절X,0.75,69,27,11,1.5185185185185186,0.391304347826087,0.7105263157894737,0.5046728971962616
A:2024~25,평년값|계절X,1.0,69,36,16,1.9722222222222223,0.5217391304347826,0.6923076923076923,0.5950413223140496
B:2026,예보일값|계절O,0.5,42,23,18,1.173913043478261,0.5476190476190477,0.5609756097560976,0.5542168674698795
B:2026,예보일값|계절O,0.75,42,30,30,1.7333333333333334,0.7142857142857143,0.5,0.5882352941176471
B:2026,예보일값|계절O,1.0,42,31,48,2.0,0.7380952380952381,0.3924050632911392,0.512396694214876
B:2026,예보일값|계절X,0.5,42,24,17,1.0416666666666667,0.5714285714285714,0.5853658536585366,0.5783132530120482
B:2026,예보일값|계절X,0.75,42,29,31,1.5862068965517242,0.6904761904761905,0.48333333333333334,0.5686274509803921
B:2026,예보일값|계절X,1.0,42,31,48,1.967741935483871,0.7380952380952381,0.3924050632911392,0.512396694214876
B:2026,최근7일평균|계절O,0.5,42,13,16,0.6923076923076923,0.30952380952380953,0.4482758620689655,0.36619718309859156
B:2026,최근7일평균|계절O,0.75,42,25,28,1.48,0.5952380952380952,0.4716981132075472,0.5263157894736842
B:2026,최근7일평균|계절O,1.0,42,28,48,1.9642857142857142,0.6666666666666666,0.3684210526315789,0.4745762711864407
B:2026,최근7일평균|계절X,0.5,42,13,16,0.5384615384615384,0.30952380952380953,0.4482758620689655,0.36619718309859156
B:2026,최근7일평균|계절X,0.75,42,24,28,1.4166666666666667,0.5714285714285714,0.46153846153846156,0.5106382978723404
B:2026,최근7일평균|계절X,1.0,42,29,49,1.9310344827586208,0.6904761904761905,0.3717948717948718,0.48333333333333334
B:2026,평년값|계절O,0.5,42,11,9,0.6363636363636364,0.2619047619047619,0.55,0.3548387096774194
B:2026,평년값|계절O,0.75,42,20,18,1.3,0.47619047619047616,0.5263157894736842,0.5
B:2026,평년값|계절O,1.0,42,29,33,2.0,0.6904761904761905,0.46774193548387094,0.5576923076923077
B:2026,평년값|계절X,0.5,42,10,9,0.5,0.23809523809523808,0.5263157894736842,0.32786885245901637
B:2026,평년값|계절X,0.75,42,19,17,1.3157894736842106,0.4523809523809524,0.5277777777777778,0.48717948717948717
B:2026,평년값|계절X,1.0,42,29,36,1.9655172413793103,0.6904761904761905,0.4461538461538462,0.5420560747663551
