scenario,config,1,2,3,4,5,6,7
예보없음,기존모델|여름전체,0.43821136418761697,0.7307814405567137,0.9672660512417839,1.1773139797760352,1.3417124570905792,1.4889125000393308,1.5940573099534472
예보없음,기존모델|20℃+,0.43551184845721647,0.7270145546489666,0.9637308708786647,1.1741105942872476,1.3404567147950712,1.4910391275717534,1.5982235569380143
예보없음,기존모델|24℃+,0.4405985066889873,0.7404735591451477,0.9869371785911876,1.2041261517570383,1.3690656010023043,1.510457657551039,1.6116127386574202
예보없음,기존모델|26℃+,0.44856264546363667,0.7604567141085234,1.0142796883109382,1.2349171968490988,1.4022565454043803,1.5450142496801913,1.643593847575366
예보없음,기존+기간평균패턴|여름전체,0.4473857568658097,0.7434427932873866,0.9768437043781362,1.1883836649772548,1.3477163271110932,1.495931051788586,1.59970207629164
예보없음,기존+기간평균패턴|20℃+,0.4440562198498242,0.7368162326339667,0.9680642713038453,1.1775047366624334,1.3359842898987777,1.4867377456835036,1.594549861841883
예보없음,기존+기간평균패턴|24℃+,0.4528332329495707,0.7599240920502491,1.0081689911188754,1.236056234058604,1.4097543044133927,1.56774300314921,1.688508260520209
예보없음,기존+기간평균패턴|26℃+,0.6760805440951161,1.0411023575059184,1.337593734948141,1.5883940405285009,1.7423819472763244,1.8751129781589788,1.9665287655734263
예보없음,5일패턴:수온+기온+풍속+강수|여름전체,0.43773278393815657,0.725769989208128,0.9550830766180224,1.1625334360568018,1.3224633221067743,1.4690778860928457,1.5702108634305305
예보없음,5일패턴:수온+기온+풍속+강수|20℃+,0.4345563774676448,0.7203173835685448,0.9474418294114275,1.1516600432481887,1.3093060331530928,1.456742621472249,1.556796805783707
예보없음,5일패턴:수온+기온+풍속+강수|24℃+,0.44314365881146356,0.7417548145049939,0.985969220101846,1.2054744646842295,1.3760581421618745,1.5243440776130803,1.6328526327646
예보없음,5일패턴:수온+기온+풍속+강수|26℃+,0.4831778702671534,0.8183062534176325,1.0848373046549344,1.3042219002923838,1.4641389567239549,1.6007969858197257,1.683393607773887
