scenario,config,margin,region,actual_events,hit,false_alarm,abs_err_sum,signed_err_sum
예보없음,기존+기간평균패턴|20℃+,0.5,완도,20,15,11,29.0,-21.0
예보없음,기존+기간평균패턴|20℃+,1.0,완도,20,19,23,46.0,-46.0
예보없음,기존+기간평균패턴|20℃+,0.0,통영,26,11,1,14.0,14.0
예보없음,기존+기간평균패턴|20℃+,0.5,통영,26,15,1,15.0,-5.0
예보없음,기존+기간평균패턴|20℃+,1.0,통영,26,19,2,29.0,-27.0
예보없음,기존+기간평균패턴|24℃+,0.0,남해군,8,0,5,0.0,0.0
예보없음,기존+기간평균패턴|24℃+,0.5,남해군,8,1,7,0.0,0.0
예보없음,기존+기간평균패턴|24℃+,1.0,남해군,8,2,11,1.0,1.0
예보없음,기존+기간평균패턴|24℃+,0.0,여수,14,2,1,5.0,5.0
예보없음,기존+기간평균패턴|24℃+,0.5,여수,14,6,1,8.0,-4.0
예보없음,기존+기간평균패턴|24℃+,1.0,여수,14,8,1,15.0,-11.0
예보없음,기존+기간평균패턴|24℃+,0.0,완도,20,7,4,6.0,4.0
예보없음,기존+기간평균패턴|24℃+,0.5,완도,20,14,7,29.0,-25.0
예보없음,기존+기간평균패턴|24℃+,1.0,완도,20,18,20,41.0,-39.0
예보없음,기존+기간평균패턴|24℃+,0.0,통영,26,4,3,2.0,2.0
예보없음,기존+기간평균패턴|24℃+,0.5,통영,26,11,4,13.0,1.0
예보없음,기존+기간평균패턴|24℃+,1.0,통영,26,17,4,30.0,-22.0
예보없음,기존+기간평균패턴|26℃+,0.0,남해군,8,2,2,12.0,12.0
예보없음,기존+기간평균패턴|26℃+,0.5,남해군,8,2,3,1.0,1.0
예보없음,기존+기간평균패턴|26℃+,1.0,남해군,8,3,4,6.0,6.0
예보없음,기존+기간평균패턴|26℃+,0.0,여수,14,5,6,8.0,8.0
예보없음,기존+기간평균패턴|26℃+,0.5,여수,14,7,6,11.0,-11.0
예보없음,기존+기간평균패턴|26℃+,1.0,여수,14,9,6,22.0,-22.0
예보없음,기존+기간평균패턴|26℃+,0.0,완도,20,8,14,17.0,-15.0
예보없음,기존+기간평균패턴|26℃+,0.5,완도,20,12,15,30.0,-30.0
예보없음,기존+기간평균패턴|26℃+,1.0,완도,20,13,21,31.0,-31.0
예보없음,기존+기간평균패턴|26℃+,0.0,통영,26,0,2,0.0,0.0
예보없음,기존+기간평균패턴|26℃+,0.5,통영,26,0,2,0.0,0.0
예보없음,기존+기간평균패턴|26℃+,1.0,통영,26,2,2,2.0,2.0
예보없음,기존+기간평균패턴|여름전체,0.0,남해군,8,1,0,4.0,4.0
예보없음,기존+기간평균패턴|여름전체,0.5,남해군,8,2,1,4.0,4.0
예보없음,기존+기간평균패턴|여름전체,1.0,남해군,8,2,5,2.0,2.0
예보없음,기존+기간평균패턴|여름전체,0.0,여수,14,1,0,0.0,0.0
예보없음,기존+기간평균패턴|여름전체,0.5,여수,14,6,1,8.0,-8.0
예보없음,기존+기간평균패턴|여름전체,1.0,여수,14,8,1,16.0,-16.0
예보없음,기존+기간평균패턴|여름전체,0.0,완도,20,7,4,10.0,8.0
예보없음,기존+기간평균패턴|여름전체,0.5,완도,20,15,11,29.0,-21.0
예보없음,기존+기간평균패턴|여름전체,1.0,완도,20,19,23,46.0,-46.0
예보없음,기존+기간평균패턴|여름전체,0.0,통영,26,6,1,9.0,9.0
예보없음,기존+기간평균패턴|여름전체,0.5,통영,26,12,1,10.0,-2.0
예보없음,기존+기간평균패턴|여름전체,1.0,통영,26,18,2,29.0,-25.0
예보없음,기존모델|20℃+,0.0,남해군,8,1,0,2.0,2.0
예보없음,기존모델|20℃+,0.5,남해군,8,2,1,6.0,6.0
예보없음,기존모델|20℃+,1.0,남해군,8,2,7,3.0,3.0
예보없음,기존모델|20℃+,0.0,여수,14,4,0,15.0,15.0
예보없음,기존모델|20℃+,0.5,여수,14,8,1,14.0,-2.0
예보없음,기존모델|20℃+,1.0,여수,14,9,1,19.0,-15.0
예보없음,기존모델|20℃+,0.0,완도,20,2,2,5.0,5.0
예보없음,기존모델|20℃+,0.5,완도,20,14,11,25.0,-17.0
예보없음,기존모델|20℃+,1.0,완도,20,19,25,45.0,-45.0
예보없음,기존모델|20℃+,0.0,통영,26,2,0,1.0,1.0
예보없음,기존모델|20℃+,0.5,통영,26,8,3,8.0,-8.0
예보없음,기존모델|20℃+,1.0,통영,26,14,8,23.0,-19.0
예보없음,기존모델|24℃+,0.0,남해군,8,0,0,0.0,0.0
예보없음,기존모델|24℃+,0.5,남해군,8,1,3,0.0,0.0
예보없음,기존모델|24℃+,1.0,남해군,8,2,6,2.0,2.0
예보없음,기존모델|24℃+,0.0,여수,14,4,1,15.0,15.0
예보없음,기존모델|24℃+,0.5,여수,14,6,1,10.0,0.0
예보없음,기존모델|24℃+,1.0,여수,14,8,1,15.0,-13.0
예보없음,기존모델|24℃+,0.0,완도,20,2,3,4.0,4.0
예보없음,기존모델|24℃+,0.5,완도,20,14,8,24.0,-24.0
예보없음,기존모델|24℃+,1.0,완도,20,19,21,46.0,-46.0
예보없음,기존모델|24℃+,0.0,통영,26,4,1,9.0,9.0
예보없음,기존모델|24℃+,0.5,통영,26,8,3,7.0,-7.0
예보없음,기존모델|24℃+,1.0,통영,26,15,9,30.0,-22.0
예보없음,기존모델|26℃+,0.0,남해군,8,0,0,0.0,0.0
예보없음,기존모델|26℃+,0.5,남해군,8,2,3,2.0,2.0
예보없음,기존모델|26℃+,1.0,남해군,8,2,5,1.0,1.0
예보없음,기존모델|26℃+,0.0,여수,14,4,2,2.0,2.0
예보없음,기존모델|26℃+,0.5,여수,14,7,4,6.0,-2.0
예보없음,기존모델|26℃+,1.0,여수,14,8,6,14.0,-14.0
예보없음,기존모델|26℃+,0.0,완도,20,0,2,0.0,0.0
예보없음,기존모델|26℃+,0.5,완도,20,11,5,21.0,-21.0
예보없음,기존모델|26℃+,1.0,완도,20,15,11,32.0,-32.0
예보없음,기존모델|26℃+,0.0,통영,26,2,2,1.0,1.0
예보없음,기존모델|26℃+,0.5,통영,26,9,6,13.0,-7.0
예보없음,기존모델|26℃+,1.0,통영,26,16,9,24.0,-20.0
예보없음,기존모델|여름전체,0.0,남해군,8,1,0,5.0,5.0
예보없음,기존모델|여름전체,0.5,남해군,8,1,1,0.0,0.0
예보없음,기존모델|여름전체,1.0,남해군,8,2,5,5.0,5.0
예보없음,기존모델|여름전체,0.0,여수,14,4,0,15.0,15.0
예보없음,기존모델|여름전체,0.5,여수,14,8,1,14.0,-2.0
예보없음,기존모델|여름전체,1.0,여수,14,9,1,19.0,-15.0
예보없음,기존모델|여름전체,0.0,완도,20,2,2,5.0,5.0
예보없음,기존모델|여름전체,0.5,완도,20,14,11,26.0,-16.0
예보없음,기존모델|여름전체,1.0,완도,20,19,25,44.0,-44.0
예보없음,기존모델|여름전체,0.0,통영,26,2,0,2.0,2.0
예보없음,기존모델|여름전체,0.5,통영,26,8,1,8.0,-8.0
예보없음,기존모델|여름전체,1.0,통영,26,13,7,21.0,-21.0
