obsrvnGroupNm,obsvtrCd,obsvtrKornNm,staNam,obsrvnDt,wtemS
남해,fwgk5,완도 군외,완도 군외(fwgk5),2022-01-01,6.5
남해,fwgk5,완도 군외,완도 군외(fwgk5),2022-01-02,6.7
남해,fwgk5,완도 군외,완도 군외(fwgk5),2022-01-03,7.0
남해,fwgk5,완도 군외,완도 군외(fwgk5),2022-01-04,7.4
남해,fwgk5,완도 군외,완도 군외(fwgk5),2022-01-05,7.6
남해,fwgk5,완도 군외,완도 군외(fwgk5),2022-01-06,7.7
남해,fwgk5,완도 군외,완도 군외(fwgk5),2022-01-07,7.4
남해,fwgk5,완도 군외,완도 군외(fwgk5),2022-01-08,7.4
남해,fwgk5,완도 군외,완도 군외(fwgk5),2022-01-09,7.4
남해,fwgk5,완도 군외,완도 군외(fwgk5),2022-01-10,7.1
남해,fwgk5,완도 군외,완도 군외(fwgk5),2022-01-11,6.7
남해,fwgk5,완도 군외,완도 군외(fwgk5),2022-01-12,6.3
남해,fwgk5,완도 군외,완도 군외(fwgk5),2022-01-13,6.0
남해,fwgk5,완도 군외,완도 군외(fwgk5),2022-01-14,5.7
남해,fwgk5,완도 군외,완도 군외(fwgk5),2022-01-15,5.6
남해,fwgk5,완도 군외,완도 군외(fwgk5),2022-01-16,5.8
남해,fwgk5,완도 군외,완도 군외(fwgk5),2022-01-17,5.7
남해,fwgk5,완도 군외,완도 군외(fwgk5),2022-01-18,5.7
남해,fwgk5,완도 군외,완도 군외(fwgk5),2022-01-19,5.8
남해,fwgk5,완도 군외,완도 군외(fwgk5),2022-01-20,6.0
남해,fwgk5,완도 군외,완도 군외(fwgk5),2022-01-21,6.0
남해,fwgk5,완도 군외,완도 군외(fwgk5),2022-01-22,6.5
남해,fwgk5,완도 군외,완도 군외(fwgk5),2022-01-23,7.1
남해,fwgk5,완도 군외,완도 군외(fwgk5),2022-01-24,7.4
남해,fwgk5,완도 군외,완도 군외(fwgk5),2022-01-25,7.6
남해,fwgk5,완도 군외,완도 군외(fwgk5),2022-01-26,7.4
남해,fwgk5,완도 군외,완도 군외(fwgk5),2022-01-27,7.4
남해,fwgk5,완도 군외,완도 군외(fwgk5),2022-01-28,7.2
남해,fwgk5,완도 군외,완도 군외(fwgk5),2022-01-29,6.8
남해,fwgk5,완도 군외,완도 군외(fwgk5),2022-01-30,6.5
남해,fwgk5,완도 군외,완도 군외(fwgk5),2022-01-31,6.3
남해,fwgk5,완도 군외,완도 군외(fwgk5),2022-02-01,6.6
남해,fwgk5,완도 군외,완도 군외(fwgk5),2022-02-02,6.6
남해,fwgk5,완도 군외,완도 군외(fwgk5),2022-02-03,6.7
남해,fwgk5,완도 군외,완도 군외(fwgk5),2022-02-04,6.6
남해,fwgk5,완도 군외,완도 군외(fwgk5),2022-02-05,6.4
남해,fwgk5,완도 군외,완도 군외(fwgk5),2022-02-06,6.2
남해,fwgk5,완도 군외,완도 군외(fwgk5),2022-02-07,6.0
남해,fwgk5,완도 군외,완도 군외(fwgk5),2022-02-08,5.8
남해,fwgk5,완도 군외,완도 군외(fwgk5),2022-02-09,5.9
남해,fwgk5,완도 군외,완도 군외(fwgk5),2022-02-10,6.0
남해,fwgk5,완도 군외,완도 군외(fwgk5),2022-02-11,6.1
남해,fwgk5,완도 군외,완도 군외(fwgk5),2022-02-12,6.5
남해,fwgk5,완도 군외,완도 군외(fwgk5),2022-02-13,7.0
남해,fwgk5,완도 군외,완도 군외(fwgk5),2022-02-14,7.3
남해,fwgk5,완도 군외,완도 군외(fwgk5),2022-02-15,7.0
남해,fwgk5,완도 군외,완도 군외(fwgk5),2022-02-16,6.3
남해,fwgk5,완도 군외,완도 군외(fwgk5),2022-02-17,5.8
남해,fwgk5,완도 군외,완도 군외(fwgk5),2022-02-18,5.8
남해,fwgk5,완도 군외,완도 군외(fwgk5),2022-02-19,6.3
남해,fwgk5,완도 군외,완도 군외(fwgk5),2022-02-20,5.9
