obsrvnGroupNm,obsvtrCd,obsvtrKornNm,staNam,obsrvnDt,wtemS
남해,fwgk5,완도 군외,완도 군외(fwgk5),2024-01-02,9.1
남해,fwgk5,완도 군외,완도 군외(fwgk5),2024-01-03,9.0
남해,fwgk5,완도 군외,완도 군외(fwgk5),2024-01-04,8.7
남해,fwgk5,완도 군외,완도 군외(fwgk5),2024-01-05,8.6
남해,fwgk5,완도 군외,완도 군외(fwgk5),2024-01-06,8.6
남해,fwgk5,완도 군외,완도 군외(fwgk5),2024-01-07,8.3
남해,fwgk5,완도 군외,완도 군외(fwgk5),2024-01-08,7.7
남해,fwgk5,완도 군외,완도 군외(fwgk5),2024-01-09,7.4
남해,fwgk5,완도 군외,완도 군외(fwgk5),2024-01-10,7.5
남해,fwgk5,완도 군외,완도 군외(fwgk5),2024-01-11,7.6
남해,fwgk5,완도 군외,완도 군외(fwgk5),2024-01-12,8.2
남해,fwgk5,완도 군외,완도 군외(fwgk5),2024-01-13,8.3
남해,fwgk5,완도 군외,완도 군외(fwgk5),2024-01-14,8.5
남해,fwgk5,완도 군외,완도 군외(fwgk5),2024-01-15,8.6
남해,fwgk5,완도 군외,완도 군외(fwgk5),2024-01-16,8.3
남해,fwgk5,완도 군외,완도 군외(fwgk5),2024-01-17,8.5
남해,fwgk5,완도 군외,완도 군외(fwgk5),2024-01-18,8.6
남해,fwgk5,완도 군외,완도 군외(fwgk5),2024-01-19,8.7
남해,fwgk5,완도 군외,완도 군외(fwgk5),2024-01-20,8.3
남해,fwgk5,완도 군외,완도 군외(fwgk5),2024-01-21,8.1
남해,fwgk5,완도 군외,완도 군외(fwgk5),2024-01-22,7.7
남해,fwgk5,완도 군외,완도 군외(fwgk5),2024-01-23,7.0
남해,fwgk5,완도 군외,완도 군외(fwgk5),2024-01-24,6.2
남해,fwgk5,완도 군외,완도 군외(fwgk5),2024-01-25,6.0
남해,fwgk5,완도 군외,완도 군외(fwgk5),2024-01-26,6.3
남해,fwgk5,완도 군외,완도 군외(fwgk5),2024-01-27,6.8
남해,fwgk5,완도 군외,완도 군외(fwgk5),2024-01-28,7.2
남해,fwgk5,완도 군외,완도 군외(fwgk5),2024-01-29,7.4
남해,fwgk5,완도 군외,완도 군외(fwgk5),2024-01-30,7.6
남해,fwgk5,완도 군외,완도 군외(fwgk5),2024-01-31,7.9
남해,fwgk5,완도 군외,완도 군외(fwgk5),2024-02-01,8.1
남해,fwgk5,완도 군외,완도 군외(fwgk5),2024-02-02,8.1
남해,fwgk5,완도 군외,완도 군외(fwgk5),2024-02-03,8.2
남해,fwgk5,완도 군외,완도 군외(fwgk5),2024-02-04,8.1
남해,fwgk5,완도 군외,완도 군외(fwgk5),2024-02-05,8.1
남해,fwgk5,완도 군외,완도 군외(fwgk5),2024-02-06,7.9
남해,fwgk5,완도 군외,완도 군외(fwgk5),2024-02-07,7.7
남해,fwgk5,완도 군외,완도 군외(fwgk5),2024-02-08,7.5
남해,fwgk5,완도 군외,완도 군외(fwgk5),2024-02-09,7.5
남해,fwgk5,완도 군외,완도 군외(fwgk5),2024-02-10,7.7
남해,fwgk5,완도 군외,완도 군외(fwgk5),2024-02-11,8.0
남해,fwgk5,완도 군외,완도 군외(fwgk5),2024-02-12,8.6
남해,fwgk5,완도 군외,완도 군외(fwgk5),2024-02-13,9.3
남해,fwgk5,완도 군외,완도 군외(fwgk5),2024-02-14,10.3
남해,fwgk5,완도 군외,완도 군외(fwgk5),2024-02-15,10.6
남해,fwgk5,완도 군외,완도 군외(fwgk5),2024-02-16,9.9
남해,fwgk5,완도 군외,완도 군외(fwgk5),2024-02-17,9.9
남해,fwgk5,완도 군외,완도 군외(fwgk5),2024-02-18,10.1
남해,fwgk5,완도 군외,완도 군외(fwgk5),2024-02-19,11.2
남해,fwgk5,완도 군외,완도 군외(fwgk5),2024-02-20,10.8
남해,fwgk5,완도 군외,완도 군외(fwgk5),2024-02-21,10.4
남해,fwgk5,완도 군외,완도 군외(fwgk5),2024-02-22,9.9
남해,fwgk5,완도 군외,완도 군외(fwgk5),2024-02-23,9.7
남해,fwgk5,완도 군외,완도 군외(fwgk5),2024-02-24,9.5
남해,fwgk5,완도 군외,완도 군외(fwgk5),2024-02-25,9.4
남해,fwgk5,완도 군외,완도 군외(fwgk5),2024-02-26,9.7
남해,fwgk5,완도 군외,완도 군외(fwgk5),2024-02-27,10.0
남해,fwgk5,완도 군외,완도 군외(fwgk5),2024-02-28,10.3
남해,fwgk5,완도 군외,완도 군외(fwgk5),2024-02-29,10.3
남해,fwgk5,완도 군외,완도 군외(fwgk5),2024-03-01,9.5
남해,fwgk5,완도 군외,완도 군외(fwgk5),2024-03-02,9.0
남해,fwgk5,완도 군외,완도 군외(fwgk5),2024-03-03,8.9
남해,fwgk5,완도 군외,완도 군외(fwgk5),2024-03-04,8.9
남해,fwgk5,완도 군외,완도 군외(fwgk5),2024-03-05,9.1
남해,fwgk5,완도 군외,완도 군외(fwgk5),2024-03-06,9.3
남해,fwgk5,완도 군외,완도 군외(fwgk5),2024-03-07,9.7
남해,fwgk5,완도 군외,완도 군외(fwgk5),2024-03-08,9.5
남해,fwgk5,완도 군외,완도 군외(fwgk5),2024-03-09,9.4
남해,fwgk5,완도 군외,완도 군외(fwgk5),2024-03-10,9.5
남해,fwgk5,완도 군외,완도 군외(fwgk5),2024-03-11,9.7
남해,fwgk5,완도 군외,완도 군외(fwgk5),2024-03-12,9.8
남해,fwgk5,완도 군외,완도 군외(fwgk5),2024-03-13,10.4
남해,fwgk5,완도 군외,완도 군외(fwgk5),2024-03-14,10.5
남해,fwgk5,완도 군외,완도 군외(fwgk5),2024-03-15,10.9
남해,fwgk5,완도 군외,완도 군외(fwgk5),2024-03-16,11.3
남해,fwgk5,완도 군외,완도 군외(fwgk5),2024-03-17,11.8
남해,fwgk5,완도 군외,완도 군외(fwgk5),2024-03-18,11.7
남해,fwgk5,완도 군외,완도 군외(fwgk5),2024-03-19,11.8
남해,fwgk5,완도 군외,완도 군외(fwgk5),2024-03-20,11.4
남해,fwgk5,완도 군외,완도 군외(fwgk5),2024-03-21,11.0
남해,fwgk5,완도 군외,완도 군외(fwgk5),2024-03-22,11.2
남해,fwgk5,완도 군외,완도 군외(fwgk5),2024-03-23,12.3
남해,fwgk5,완도 군외,완도 군외(fwgk5),2024-03-24,12.5
남해,fwgk5,완도 군외,완도 군외(fwgk5),2024-03-25,12.0
남해,fwgk5,완도 군외,완도 군외(fwgk5),2024-03-26,11.8
남해,fwgk5,완도 군외,완도 군외(fwgk5),2024-03-27,11.9
남해,fwgk5,완도 군외,완도 군외(fwgk5),2024-03-28,12.2
남해,fwgk5,완도 군외,완도 군외(fwgk5),2024-03-29,12.3
남해,fwgk5,완도 군외,완도 군외(fwgk5),2024-03-30,12.6
남해,fwgk5,완도 군외,완도 군외(fwgk5),2024-03-31,12.9
남해,fwgk5,완도 군외,완도 군외(fwgk5),2024-04-01,13.3
남해,fwgk5,완도 군외,완도 군외(fwgk5),2024-04-02,13.7
남해,fwgk5,완도 군외,완도 군외(fwgk5),2024-04-03,14.0
남해,fwgk5,완도 군외,완도 군외(fwgk5),2024-04-04,14.0
남해,fwgk5,완도 군외,완도 군외(fwgk5),2024-04-05,14.1
남해,fwgk5,완도 군외,완도 군외(fwgk5),2024-04-06,14.1
남해,fwgk5,완도 군외,완도 군외(fwgk5),2024-04-07,14.3
남해,fwgk5,완도 군외,완도 군외(fwgk5),2024-04-08,14.5
남해,fwgk5,완도 군외,완도 군외(fwgk5),2024-04-09,14.5
남해,fwgk5,완도 군외,완도 군외(fwgk5),2024-04-10,14.8
남해,fwgk5,완도 군외,완도 군외(fwgk5),2024-04-11,14.7
남해,fwgk5,완도 군외,완도 군외(fwgk5),2024-04-12,15.0
남해,fwgk5,완도 군외,완도 군외(fwgk5),2024-04-13,15.8
남해,fwgk5,완도 군외,완도 군외(fwgk5),2024-04-14,16.3
남해,fwgk5,완도 군외,완도 군외(fwgk5),2024-04-15,16.6
남해,fwgk5,완도 군외,완도 군외(fwgk5),2024-04-16,17.0
남해,fwgk5,완도 군외,완도 군외(fwgk5),2024-04-17,16.6
남해,fwgk5,완도 군외,완도 군외(fwgk5),2024-04-18,16.8
남해,fwgk5,완도 군외,완도 군외(fwgk5),2024-04-19,16.9
남해,fwgk5,완도 군외,완도 군외(fwgk5),2024-04-20,16.9
남해,fwgk5,완도 군외,완도 군외(fwgk5),2024-04-21,16.7
남해,fwgk5,완도 군외,완도 군외(fwgk5),2024-04-22,16.9
