obsrvnGroupNm,obsvtrCd,obsvtrKornNm,staNam,obsrvnDt,wtemS
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-03-25,12.0
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-03-26,12.4
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-03-27,12.2
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-03-28,12.3
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-03-29,12.7
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-03-30,13.3
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-03-31,14.0
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-04-01,14.3
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-04-02,14.8
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-04-03,14.9
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-04-04,14.7
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-04-05,14.8
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-04-06,13.9
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-04-07,13.5
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-04-08,13.1
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-04-09,13.3
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-04-10,13.7
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-04-11,14.2
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-04-12,14.2
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-04-13,14.3
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-04-14,14.4
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-04-15,14.8
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-04-16,14.8
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-04-17,14.7
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-04-18,15.2
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-04-19,15.4
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-04-20,15.9
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-04-21,16.3
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-04-22,16.3
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-04-23,15.9
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-04-24,15.3
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-04-25,14.7
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-04-26,14.5
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-04-27,14.7
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-04-28,15.4
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-04-29,15.8
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-04-30,15.7
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-05-01,16.0
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-05-02,16.3
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-05-03,16.5
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-05-04,16.3
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-05-05,16.7
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-05-06,16.7
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-05-07,16.3
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-05-08,16.2
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-05-09,16.6
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-05-10,17.0
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-05-11,17.4
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-05-12,17.7
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-05-13,17.8
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-05-14,18.0
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-05-15,17.9
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-05-16,18.4
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-05-17,18.9
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-05-18,18.7
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-05-19,18.7
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-05-20,19.0
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-05-21,19.1
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-05-22,18.6
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-05-23,18.7
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-05-24,18.9
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-05-25,19.5
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-05-26,20.3
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-05-27,20.9
