obsrvnGroupNm,obsvtrCd,obsvtrKornNm,staNam,obsrvnDt,wtemS
남해,fwgk5,완도 군외,완도 군외(fwgk5),2025-01-01,7.9
남해,fwgk5,완도 군외,완도 군외(fwgk5),2025-01-02,8.2
남해,fwgk5,완도 군외,완도 군외(fwgk5),2025-01-03,8.1
남해,fwgk5,완도 군외,완도 군외(fwgk5),2025-01-04,8.1
남해,fwgk5,완도 군외,완도 군외(fwgk5),2025-01-05,8.1
남해,fwgk5,완도 군외,완도 군외(fwgk5),2025-01-06,8.1
남해,fwgk5,완도 군외,완도 군외(fwgk5),2025-01-07,7.8
남해,fwgk5,완도 군외,완도 군외(fwgk5),2025-01-08,7.5
남해,fwgk5,완도 군외,완도 군외(fwgk5),2025-01-09,7.0
남해,fwgk5,완도 군외,완도 군외(fwgk5),2025-01-10,6.3
남해,fwgk5,완도 군외,완도 군외(fwgk5),2025-01-11,6.1
남해,fwgk5,완도 군외,완도 군외(fwgk5),2025-01-12,6.1
남해,fwgk5,완도 군외,완도 군외(fwgk5),2025-01-13,6.3
남해,fwgk5,완도 군외,완도 군외(fwgk5),2025-01-14,6.9
남해,fwgk5,완도 군외,완도 군외(fwgk5),2025-01-15,7.2
남해,fwgk5,완도 군외,완도 군외(fwgk5),2025-01-16,7.1
남해,fwgk5,완도 군외,완도 군외(fwgk5),2025-01-17,7.4
남해,fwgk5,완도 군외,완도 군외(fwgk5),2025-01-18,7.3
남해,fwgk5,완도 군외,완도 군외(fwgk5),2025-01-19,7.4
남해,fwgk5,완도 군외,완도 군외(fwgk5),2025-01-20,7.6
남해,fwgk5,완도 군외,완도 군외(fwgk5),2025-01-21,7.6
남해,fwgk5,완도 군외,완도 군외(fwgk5),2025-01-22,7.4
남해,fwgk5,완도 군외,완도 군외(fwgk5),2025-01-23,7.2
남해,fwgk5,완도 군외,완도 군외(fwgk5),2025-01-24,7.2
남해,fwgk5,완도 군외,완도 군외(fwgk5),2025-01-25,7.4
남해,fwgk5,완도 군외,완도 군외(fwgk5),2025-01-26,7.6
남해,fwgk5,완도 군외,완도 군외(fwgk5),2025-01-27,7.3
남해,fwgk5,완도 군외,완도 군외(fwgk5),2025-01-28,6.8
남해,fwgk5,완도 군외,완도 군외(fwgk5),2025-01-29,6.5
남해,fwgk5,완도 군외,완도 군외(fwgk5),2025-01-30,6.5
남해,fwgk5,완도 군외,완도 군외(fwgk5),2025-01-31,6.8
남해,fwgk5,완도 군외,완도 군외(fwgk5),2025-02-01,7.0
남해,fwgk5,완도 군외,완도 군외(fwgk5),2025-02-02,7.3
남해,fwgk5,완도 군외,완도 군외(fwgk5),2025-02-03,7.2
남해,fwgk5,완도 군외,완도 군외(fwgk5),2025-02-04,6.6
남해,fwgk5,완도 군외,완도 군외(fwgk5),2025-02-05,5.8
남해,fwgk5,완도 군외,완도 군외(fwgk5),2025-02-06,5.2
남해,fwgk5,완도 군외,완도 군외(fwgk5),2025-02-07,4.8
남해,fwgk5,완도 군외,완도 군외(fwgk5),2025-02-08,4.7
남해,fwgk5,완도 군외,완도 군외(fwgk5),2025-02-09,4.5
남해,fwgk5,완도 군외,완도 군외(fwgk5),2025-02-10,4.3
남해,fwgk5,완도 군외,완도 군외(fwgk5),2025-02-11,4.5
남해,fwgk5,완도 군외,완도 군외(fwgk5),2025-02-12,5.3
남해,fwgk5,완도 군외,완도 군외(fwgk5),2025-02-13,5.5
남해,fwgk5,완도 군외,완도 군외(fwgk5),2025-02-14,5.7
남해,fwgk5,완도 군외,완도 군외(fwgk5),2025-02-15,6.3
남해,fwgk5,완도 군외,완도 군외(fwgk5),2025-02-16,6.6
남해,fwgk5,완도 군외,완도 군외(fwgk5),2025-02-17,6.8
남해,fwgk5,완도 군외,완도 군외(fwgk5),2025-02-18,6.4
남해,fwgk5,완도 군외,완도 군외(fwgk5),2025-02-19,6.1
남해,fwgk5,완도 군외,완도 군외(fwgk5),2025-02-20,5.9
