obsrvnGroupNm,obsvtrCd,obsvtrKornNm,staNam,obsrvnDt,wtemM,wtemS,wtemB
남해,fth59,통영 학림,통영 학림(fth59),2024-01-02,12.3,12.3,12.3
남해,fth59,통영 학림,통영 학림(fth59),2024-01-03,12.2,12.2,12.2
남해,fth59,통영 학림,통영 학림(fth59),2024-01-04,12.1,12.1,12.1
남해,fth59,통영 학림,통영 학림(fth59),2024-01-05,12.0,12.0,12.0
남해,fth59,통영 학림,통영 학림(fth59),2024-01-06,11.9,11.9,11.9
남해,fth59,통영 학림,통영 학림(fth59),2024-01-07,11.7,11.7,11.8
남해,fth59,통영 학림,통영 학림(fth59),2024-01-08,11.6,11.6,11.6
남해,fth59,통영 학림,통영 학림(fth59),2024-01-09,11.5,11.5,11.5
남해,fth59,통영 학림,통영 학림(fth59),2024-01-10,11.5,11.5,11.4
남해,fth59,통영 학림,통영 학림(fth59),2024-01-11,11.4,11.4,11.3
남해,fth59,통영 학림,통영 학림(fth59),2024-01-12,11.3,11.3,11.3
남해,fth59,통영 학림,통영 학림(fth59),2024-01-13,11.3,11.3,11.3
남해,fth59,통영 학림,통영 학림(fth59),2024-01-14,11.4,11.4,11.3
남해,fth59,통영 학림,통영 학림(fth59),2024-01-15,11.5,11.5,11.4
남해,fth59,통영 학림,통영 학림(fth59),2024-01-16,11.4,11.4,11.4
남해,fth59,통영 학림,통영 학림(fth59),2024-01-17,11.4,11.4,11.4
남해,fth59,통영 학림,통영 학림(fth59),2024-01-18,11.4,11.4,11.4
남해,fth59,통영 학림,통영 학림(fth59),2024-01-19,11.3,11.3,11.3
남해,fth59,통영 학림,통영 학림(fth59),2024-01-20,11.3,11.3,11.3
남해,fth59,통영 학림,통영 학림(fth59),2024-01-21,11.2,11.2,11.2
남해,fth59,통영 학림,통영 학림(fth59),2024-01-22,11.1,11.1,11.0
남해,fth59,통영 학림,통영 학림(fth59),2024-01-23,10.8,10.8,10.7
남해,fth59,통영 학림,통영 학림(fth59),2024-01-24,10.6,10.6,10.5
남해,fth59,통영 학림,통영 학림(fth59),2024-01-25,10.7,10.7,10.6
남해,fth59,통영 학림,통영 학림(fth59),2024-01-26,10.8,10.8,10.7
남해,fth59,통영 학림,통영 학림(fth59),2024-01-27,10.8,10.8,10.7
남해,fth59,통영 학림,통영 학림(fth59),2024-01-28,10.8,10.8,10.7
남해,fth59,통영 학림,통영 학림(fth59),2024-01-29,10.8,10.8,10.8
남해,fth59,통영 학림,통영 학림(fth59),2024-01-30,10.8,10.8,10.8
남해,fth59,통영 학림,통영 학림(fth59),2024-01-31,10.9,10.9,10.8
남해,fth59,통영 학림,통영 학림(fth59),2024-02-01,10.9,10.9,10.9
남해,fth59,통영 학림,통영 학림(fth59),2024-02-02,10.9,10.9,10.9
남해,fth59,통영 학림,통영 학림(fth59),2024-02-03,10.9,10.9,10.9
남해,fth59,통영 학림,통영 학림(fth59),2024-02-04,10.9,10.9,10.9
남해,fth59,통영 학림,통영 학림(fth59),2024-02-05,10.9,10.9,10.8
남해,fth59,통영 학림,통영 학림(fth59),2024-02-06,10.9,10.9,10.9
남해,fth59,통영 학림,통영 학림(fth59),2024-02-07,10.9,10.9,10.9
남해,fth59,통영 학림,통영 학림(fth59),2024-02-08,10.9,10.9,10.9
남해,fth59,통영 학림,통영 학림(fth59),2024-02-09,10.9,10.9,10.9
남해,fth59,통영 학림,통영 학림(fth59),2024-02-10,11.0,11.0,10.9
남해,fth59,통영 학림,통영 학림(fth59),2024-02-11,11.1,11.1,11.0
남해,fth59,통영 학림,통영 학림(fth59),2024-02-12,11.2,11.2,11.1
남해,fth59,통영 학림,통영 학림(fth59),2024-02-13,11.3,11.3,11.3
남해,fth59,통영 학림,통영 학림(fth59),2024-02-14,11.4,11.4,11.4
남해,fth59,통영 학림,통영 학림(fth59),2024-02-15,11.6,11.6,11.5
남해,fth59,통영 학림,통영 학림(fth59),2024-02-16,11.5,11.6,11.5
남해,fth59,통영 학림,통영 학림(fth59),2024-02-17,11.6,11.6,11.5
남해,fth59,통영 학림,통영 학림(fth59),2024-02-18,11.6,11.6,11.6
남해,fth59,통영 학림,통영 학림(fth59),2024-02-19,11.7,11.8,11.6
남해,fth59,통영 학림,통영 학림(fth59),2024-02-20,11.8,11.8,11.7
남해,fth59,통영 학림,통영 학림(fth59),2024-02-21,11.6,11.6,11.6
남해,fth59,통영 학림,통영 학림(fth59),2024-02-22,11.4,11.4,11.4
남해,fth59,통영 학림,통영 학림(fth59),2024-02-23,11.2,11.2,11.2
남해,fth59,통영 학림,통영 학림(fth59),2024-02-24,11.0,11.0,10.9
남해,fth59,통영 학림,통영 학림(fth59),2024-02-25,10.8,10.8,10.8
남해,fth59,통영 학림,통영 학림(fth59),2024-02-26,10.8,10.8,10.8
남해,fth59,통영 학림,통영 학림(fth59),2024-02-27,10.9,10.9,10.9
남해,fth59,통영 학림,통영 학림(fth59),2024-02-28,11.1,11.1,11.0
남해,fth59,통영 학림,통영 학림(fth59),2024-02-29,11.2,11.1,11.1
남해,fth59,통영 학림,통영 학림(fth59),2024-03-01,11.1,11.2,11.1
남해,fth59,통영 학림,통영 학림(fth59),2024-03-02,11.1,11.1,11.0
남해,fth59,통영 학림,통영 학림(fth59),2024-03-03,11.2,11.2,11.1
남해,fth59,통영 학림,통영 학림(fth59),2024-03-04,11.2,11.2,11.1
남해,fth59,통영 학림,통영 학림(fth59),2024-03-05,11.1,11.1,11.1
남해,fth59,통영 학림,통영 학림(fth59),2024-03-06,11.1,11.1,11.1
남해,fth59,통영 학림,통영 학림(fth59),2024-03-07,11.1,11.1,11.0
남해,fth59,통영 학림,통영 학림(fth59),2024-03-08,11.1,11.1,11.0
남해,fth59,통영 학림,통영 학림(fth59),2024-03-09,11.1,11.2,11.1
남해,fth59,통영 학림,통영 학림(fth59),2024-03-10,11.3,11.3,11.2
남해,fth59,통영 학림,통영 학림(fth59),2024-03-11,11.3,11.3,11.3
남해,fth59,통영 학림,통영 학림(fth59),2024-03-12,11.4,11.4,11.4
남해,fth59,통영 학림,통영 학림(fth59),2024-03-13,11.5,11.5,11.4
남해,fth59,통영 학림,통영 학림(fth59),2024-03-14,11.6,11.6,11.5
남해,fth59,통영 학림,통영 학림(fth59),2024-03-15,11.6,11.7,11.6
남해,fth59,통영 학림,통영 학림(fth59),2024-03-16,11.7,11.8,11.7
남해,fth59,통영 학림,통영 학림(fth59),2024-03-17,11.9,12.1,11.8
남해,fth59,통영 학림,통영 학림(fth59),2024-03-18,12.1,12.1,12.0
남해,fth59,통영 학림,통영 학림(fth59),2024-03-19,12.1,12.1,12.0
남해,fth59,통영 학림,통영 학림(fth59),2024-03-20,12.0,12.0,11.9
남해,fth59,통영 학림,통영 학림(fth59),2024-03-21,11.9,11.9,11.9
남해,fth59,통영 학림,통영 학림(fth59),2024-03-22,12.0,12.0,11.9
남해,fth59,통영 학림,통영 학림(fth59),2024-03-23,12.1,12.2,12.0
남해,fth59,통영 학림,통영 학림(fth59),2024-03-24,12.1,12.1,12.1
남해,fth59,통영 학림,통영 학림(fth59),2024-03-25,12.1,12.1,12.1
남해,fth59,통영 학림,통영 학림(fth59),2024-03-26,12.0,12.0,12.0
남해,fth59,통영 학림,통영 학림(fth59),2024-03-27,12.0,12.1,12.0
남해,fth59,통영 학림,통영 학림(fth59),2024-03-28,12.0,12.0,12.0
남해,fth59,통영 학림,통영 학림(fth59),2024-03-29,12.1,12.1,12.0
남해,fth59,통영 학림,통영 학림(fth59),2024-03-30,12.2,12.2,12.2
남해,fth59,통영 학림,통영 학림(fth59),2024-03-31,12.4,12.5,12.3
남해,fth59,통영 학림,통영 학림(fth59),2024-04-01,12.5,12.6,12.4
남해,fth59,통영 학림,통영 학림(fth59),2024-04-02,12.6,12.8,12.5
남해,fth59,통영 학림,통영 학림(fth59),2024-04-03,12.8,13.0,12.7
남해,fth59,통영 학림,통영 학림(fth59),2024-04-04,12.9,13.1,12.8
남해,fth59,통영 학림,통영 학림(fth59),2024-04-05,13.0,13.1,12.9
남해,fth59,통영 학림,통영 학림(fth59),2024-04-06,13.2,13.3,13.1
남해,fth59,통영 학림,통영 학림(fth59),2024-04-07,13.4,13.5,13.4
남해,fth59,통영 학림,통영 학림(fth59),2024-04-08,13.6,13.6,13.5
남해,fth59,통영 학림,통영 학림(fth59),2024-04-09,13.7,13.7,13.6
남해,fth59,통영 학림,통영 학림(fth59),2024-04-10,13.7,13.7,13.7
남해,fth59,통영 학림,통영 학림(fth59),2024-04-11,13.8,13.8,13.8
남해,fth59,통영 학림,통영 학림(fth59),2024-04-12,13.9,14.0,13.9
남해,fth59,통영 학림,통영 학림(fth59),2024-04-13,14.1,14.2,14.0
남해,fth59,통영 학림,통영 학림(fth59),2024-04-14,14.3,14.5,14.2
남해,fth59,통영 학림,통영 학림(fth59),2024-04-15,14.4,14.5,14.2
남해,fth59,통영 학림,통영 학림(fth59),2024-04-16,14.4,14.6,14.3
남해,fth59,통영 학림,통영 학림(fth59),2024-04-17,14.6,14.9,14.4
남해,fth59,통영 학림,통영 학림(fth59),2024-04-18,14.6,15.1,14.5
남해,fth59,통영 학림,통영 학림(fth59),2024-04-19,14.8,15.1,14.6
남해,fth59,통영 학림,통영 학림(fth59),2024-04-20,14.9,15.0,14.8
남해,fth59,통영 학림,통영 학림(fth59),2024-04-21,15.0,15.1,14.8
남해,fth59,통영 학림,통영 학림(fth59),2024-04-22,15.0,15.1,14.9
남해,fth59,통영 학림,통영 학림(fth59),2024-04-23,15.0,15.0,14.9
남해,fth59,통영 학림,통영 학림(fth59),2024-04-24,15.0,15.1,15.0
남해,fth59,통영 학림,통영 학림(fth59),2024-04-25,15.1,15.2,15.1
남해,fth59,통영 학림,통영 학림(fth59),2024-04-26,15.2,15.2,15.1
남해,fth59,통영 학림,통영 학림(fth59),2024-04-27,15.3,15.4,15.2
남해,fth59,통영 학림,통영 학림(fth59),2024-04-28,15.5,15.7,15.4
남해,fth59,통영 학림,통영 학림(fth59),2024-04-29,15.6,15.7,15.4
남해,fth59,통영 학림,통영 학림(fth59),2024-04-30,15.5,15.7,15.3
남해,fth59,통영 학림,통영 학림(fth59),2024-05-01,15.6,15.7,15.5
남해,fth59,통영 학림,통영 학림(fth59),2024-05-02,15.6,15.9,15.4
남해,fth59,통영 학림,통영 학림(fth59),2024-05-03,15.7,16.0,15.5
남해,fth59,통영 학림,통영 학림(fth59),2024-05-04,15.9,16.1,15.7
남해,fth59,통영 학림,통영 학림(fth59),2024-05-05,15.9,16.0,15.8
남해,fth59,통영 학림,통영 학림(fth59),2024-05-06,15.9,16.0,15.9
남해,fth59,통영 학림,통영 학림(fth59),2024-05-07,16.1,16.1,16.0
남해,fth59,통영 학림,통영 학림(fth59),2024-05-08,16.0,16.1,16.0
남해,fth59,통영 학림,통영 학림(fth59),2024-05-09,16.0,16.1,15.9
남해,fth59,통영 학림,통영 학림(fth59),2024-05-10,16.2,16.3,16.1
남해,fth59,통영 학림,통영 학림(fth59),2024-05-11,16.2,16.3,16.1
남해,fth59,통영 학림,통영 학림(fth59),2024-05-12,16.4,16.6,16.3
남해,fth59,통영 학림,통영 학림(fth59),2024-05-13,16.6,16.8,16.3
남해,fth59,통영 학림,통영 학림(fth59),2024-05-14,16.6,17.0,16.4
남해,fth59,통영 학림,통영 학림(fth59),2024-05-15,17.0,17.5,16.5
남해,fth59,통영 학림,통영 학림(fth59),2024-05-16,17.3,17.4,16.9
남해,fth59,통영 학림,통영 학림(fth59),2024-05-17,16.9,17.3,16.6
남해,fth59,통영 학림,통영 학림(fth59),2024-05-18,16.9,17.5,16.5
남해,fth59,통영 학림,통영 학림(fth59),2024-05-19,17.2,18.1,16.6
남해,fth59,통영 학림,통영 학림(fth59),2024-05-20,17.3,18.0,16.7
남해,fth59,통영 학림,통영 학림(fth59),2024-05-21,17.4,17.9,17.0
남해,fth59,통영 학림,통영 학림(fth59),2024-05-22,17.7,18.0,17.3
남해,fth59,통영 학림,통영 학림(fth59),2024-05-23,17.6,17.9,17.3
남해,fth59,통영 학림,통영 학림(fth59),2024-05-24,17.7,18.0,17.5
남해,fth59,통영 학림,통영 학림(fth59),2024-05-25,17.7,17.8,17.5
남해,fth59,통영 학림,통영 학림(fth59),2024-05-26,17.7,17.8,17.6
남해,fth59,통영 학림,통영 학림(fth59),2024-05-27,18.0,18.4,17.9
남해,fth59,통영 학림,통영 학림(fth59),2024-05-28,18.1,18.3,18.0
남해,fth59,통영 학림,통영 학림(fth59),2024-05-29,18.0,18.4,17.8
남해,fth59,통영 학림,통영 학림(fth59),2024-05-30,18.2,18.5,18.0
남해,fth59,통영 학림,통영 학림(fth59),2024-05-31,18.4,18.8,18.0
남해,fth59,통영 학림,통영 학림(fth59),2024-06-01,18.3,19.0,17.9
남해,fth59,통영 학림,통영 학림(fth59),2024-06-02,18.4,18.9,18.0
남해,fth59,통영 학림,통영 학림(fth59),2024-06-03,18.4,18.8,18.1
남해,fth59,통영 학림,통영 학림(fth59),2024-06-04,18.7,18.9,18.4
남해,fth59,통영 학림,통영 학림(fth59),2024-06-05,18.6,18.8,18.4
남해,fth59,통영 학림,통영 학림(fth59),2024-06-06,18.5,18.7,18.3
남해,fth59,통영 학림,통영 학림(fth59),2024-06-07,18.4,18.6,18.2
남해,fth59,통영 학림,통영 학림(fth59),2024-06-08,18.4,18.6,18.3
남해,fth59,통영 학림,통영 학림(fth59),2024-06-09,18.5,18.8,18.3
남해,fth59,통영 학림,통영 학림(fth59),2024-06-10,18.5,18.9,18.3
남해,fth59,통영 학림,통영 학림(fth59),2024-06-11,18.7,19.1,18.5
남해,fth59,통영 학림,통영 학림(fth59),2024-06-12,18.9,19.5,18.5
남해,fth59,통영 학림,통영 학림(fth59),2024-06-13,19.0,20.1,18.4
남해,fth59,통영 학림,통영 학림(fth59),2024-06-14,19.0,20.6,18.3
남해,fth59,통영 학림,통영 학림(fth59),2024-06-15,19.1,21.6,18.2
남해,fth59,통영 학림,통영 학림(fth59),2024-06-16,19.1,21.9,18.1
남해,fth59,통영 학림,통영 학림(fth59),2024-06-17,18.8,21.5,17.9
남해,fth59,통영 학림,통영 학림(fth59),2024-06-18,19.2,21.0,18.0
남해,fth59,통영 학림,통영 학림(fth59),2024-06-19,19.2,20.9,18.0
남해,fth59,통영 학림,통영 학림(fth59),2024-06-20,19.2,20.5,18.2
남해,fth59,통영 학림,통영 학림(fth59),2024-06-21,19.0,20.0,18.3
남해,fth59,통영 학림,통영 학림(fth59),2024-06-22,18.7,19.4,18.3
남해,fth59,통영 학림,통영 학림(fth59),2024-06-23,19.2,19.8,18.7
남해,fth59,통영 학림,통영 학림(fth59),2024-06-24,18.9,19.4,18.5
남해,fth59,통영 학림,통영 학림(fth59),2024-06-25,18.9,19.4,18.5
남해,fth59,통영 학림,통영 학림(fth59),2024-06-26,18.6,19.0,18.3
남해,fth59,통영 학림,통영 학림(fth59),2024-06-27,18.6,18.9,18.3
남해,fth59,통영 학림,통영 학림(fth59),2024-06-28,18.5,18.9,18.1
남해,fth59,통영 학림,통영 학림(fth59),2024-06-29,18.4,18.9,18.0
남해,fth59,통영 학림,통영 학림(fth59),2024-06-30,19.3,19.6,19.0
남해,fth59,통영 학림,통영 학림(fth59),2024-07-01,19.1,19.8,18.4
남해,fth59,통영 학림,통영 학림(fth59),2024-07-02,19.0,19.8,18.2
남해,fth59,통영 학림,통영 학림(fth59),2024-07-03,19.7,20.3,19.1
남해,fth59,통영 학림,통영 학림(fth59),2024-07-04,19.3,20.3,18.6
남해,fth59,통영 학림,통영 학림(fth59),2024-07-05,19.4,20.3,18.6
남해,fth59,통영 학림,통영 학림(fth59),2024-07-06,19.0,19.8,18.4
남해,fth59,통영 학림,통영 학림(fth59),2024-07-07,19.1,20.0,18.5
남해,fth59,통영 학림,통영 학림(fth59),2024-07-08,19.0,19.7,18.5
남해,fth59,통영 학림,통영 학림(fth59),2024-07-09,19.0,19.7,18.5
남해,fth59,통영 학림,통영 학림(fth59),2024-07-10,19.3,19.8,18.8
남해,fth59,통영 학림,통영 학림(fth59),2024-07-11,19.0,19.5,18.4
남해,fth59,통영 학림,통영 학림(fth59),2024-07-12,18.6,19.5,18.0
남해,fth59,통영 학림,통영 학림(fth59),2024-07-13,18.6,20.1,17.8
남해,fth59,통영 학림,통영 학림(fth59),2024-07-14,18.5,21.0,17.5
남해,fth59,통영 학림,통영 학림(fth59),2024-07-15,18.4,20.9,17.5
남해,fth59,통영 학림,통영 학림(fth59),2024-07-16,18.8,21.4,17.7
남해,fth59,통영 학림,통영 학림(fth59),2024-07-17,19.1,21.5,17.8
남해,fth59,통영 학림,통영 학림(fth59),2024-07-18,19.9,22.3,18.2
남해,fth59,통영 학림,통영 학림(fth59),2024-07-19,19.8,22.3,17.7
남해,fth59,통영 학림,통영 학림(fth59),2024-07-20,18.9,21.3,17.6
남해,fth59,통영 학림,통영 학림(fth59),2024-07-21,19.3,21.3,17.9
남해,fth59,통영 학림,통영 학림(fth59),2024-07-22,18.8,20.6,17.9
남해,fth59,통영 학림,통영 학림(fth59),2024-07-23,18.8,20.5,18.0
남해,fth59,통영 학림,통영 학림(fth59),2024-07-24,18.7,19.8,18.0
남해,fth59,통영 학림,통영 학림(fth59),2024-07-25,18.5,19.5,18.0
남해,fth59,통영 학림,통영 학림(fth59),2024-07-26,18.4,19.4,17.9
남해,fth59,통영 학림,통영 학림(fth59),2024-07-27,18.6,20.1,17.9
남해,fth59,통영 학림,통영 학림(fth59),2024-07-28,18.6,21.0,17.7
남해,fth59,통영 학림,통영 학림(fth59),2024-07-29,18.9,22.2,17.7
남해,fth59,통영 학림,통영 학림(fth59),2024-07-30,18.7,22.7,17.6
남해,fth59,통영 학림,통영 학림(fth59),2024-07-31,18.7,22.1,17.6
남해,fth59,통영 학림,통영 학림(fth59),2024-08-01,18.9,21.8,17.7
남해,fth59,통영 학림,통영 학림(fth59),2024-08-02,19.1,21.6,17.7
남해,fth59,통영 학림,통영 학림(fth59),2024-08-03,19.2,21.2,18.0
남해,fth59,통영 학림,통영 학림(fth59),2024-08-04,19.3,20.7,18.3
남해,fth59,통영 학림,통영 학림(fth59),2024-08-05,19.4,20.7,18.6
남해,fth59,통영 학림,통영 학림(fth59),2024-08-06,20.0,21.1,19.2
남해,fth59,통영 학림,통영 학림(fth59),2024-08-07,20.1,21.2,19.3
남해,fth59,통영 학림,통영 학림(fth59),2024-08-08,20.2,21.3,19.3
남해,fth59,통영 학림,통영 학림(fth59),2024-08-09,20.1,21.6,19.0
남해,fth59,통영 학림,통영 학림(fth59),2024-08-10,20.1,21.7,18.8
남해,fth59,통영 학림,통영 학림(fth59),2024-08-11,20.3,23.0,18.8
남해,fth59,통영 학림,통영 학림(fth59),2024-08-12,21.3,24.1,19.0
남해,fth59,통영 학림,통영 학림(fth59),2024-08-13,24.2,25.5,21.9
남해,fth59,통영 학림,통영 학림(fth59),2024-08-14,26.6,27.0,25.5
남해,fth59,통영 학림,통영 학림(fth59),2024-08-15,28.0,28.4,27.2
남해,fth59,통영 학림,통영 학림(fth59),2024-08-16,28.8,29.0,28.4
남해,fth59,통영 학림,통영 학림(fth59),2024-08-17,28.9,29.1,28.4
남해,fth59,통영 학림,통영 학림(fth59),2024-08-18,28.7,28.9,28.0
남해,fth59,통영 학림,통영 학림(fth59),2024-08-19,28.5,28.8,27.8
남해,fth59,통영 학림,통영 학림(fth59),2024-08-20,27.8,28.2,26.8
남해,fth59,통영 학림,통영 학림(fth59),2024-08-21,27.5,28.1,26.1
남해,fth59,통영 학림,통영 학림(fth59),2024-08-22,26.6,27.8,24.0
남해,fth59,통영 학림,통영 학림(fth59),2024-08-23,25.3,27.6,21.7
남해,fth59,통영 학림,통영 학림(fth59),2024-08-24,24.1,27.3,20.9
남해,fth59,통영 학림,통영 학림(fth59),2024-08-25,23.7,27.6,20.5
남해,fth59,통영 학림,통영 학림(fth59),2024-08-26,24.0,27.9,20.6
남해,fth59,통영 학림,통영 학림(fth59),2024-08-27,25.6,28.3,21.8
남해,fth59,통영 학림,통영 학림(fth59),2024-08-28,26.4,27.3,24.0
남해,fth59,통영 학림,통영 학림(fth59),2024-08-29,27.3,27.3,27.1
남해,fth59,통영 학림,통영 학림(fth59),2024-08-30,27.4,27.5,27.2
남해,fth59,통영 학림,통영 학림(fth59),2024-08-31,27.3,27.4,27.1
남해,fth59,통영 학림,통영 학림(fth59),2024-09-01,27.2,27.3,27.0
남해,fth59,통영 학림,통영 학림(fth59),2024-09-02,27.0,27.2,26.8
남해,fth59,통영 학림,통영 학림(fth59),2024-09-03,26.9,27.1,26.7
남해,fth59,통영 학림,통영 학림(fth59),2024-09-04,26.8,26.9,26.5
남해,fth59,통영 학림,통영 학림(fth59),2024-09-05,26.8,27.0,26.6
남해,fth59,통영 학림,통영 학림(fth59),2024-09-06,26.9,27.2,26.6
남해,fth59,통영 학림,통영 학림(fth59),2024-09-07,26.9,27.2,26.4
남해,fth59,통영 학림,통영 학림(fth59),2024-09-08,27.1,27.5,26.4
남해,fth59,통영 학림,통영 학림(fth59),2024-09-09,27.2,27.6,26.4
남해,fth59,통영 학림,통영 학림(fth59),2024-09-10,27.6,27.8,27.1
남해,fth59,통영 학림,통영 학림(fth59),2024-09-11,28.0,28.2,27.5
남해,fth59,통영 학림,통영 학림(fth59),2024-09-12,28.0,28.3,27.6
남해,fth59,통영 학림,통영 학림(fth59),2024-09-13,28.3,28.5,27.9
남해,fth59,통영 학림,통영 학림(fth59),2024-09-14,28.3,28.7,27.6
남해,fth59,통영 학림,통영 학림(fth59),2024-09-15,28.3,28.4,27.7
남해,fth59,통영 학림,통영 학림(fth59),2024-09-16,28.0,28.1,27.7
남해,fth59,통영 학림,통영 학림(fth59),2024-09-17,27.9,28.1,27.6
남해,fth59,통영 학림,통영 학림(fth59),2024-09-18,27.7,28.0,27.3
남해,fth59,통영 학림,통영 학림(fth59),2024-09-19,27.4,27.8,26.8
남해,fth59,통영 학림,통영 학림(fth59),2024-09-20,26.9,27.4,26.2
남해,fth59,통영 학림,통영 학림(fth59),2024-09-21,27.1,27.4,26.5
남해,fth59,통영 학림,통영 학림(fth59),2024-09-22,25.9,26.6,23.7
남해,fth59,통영 학림,통영 학림(fth59),2024-09-23,25.5,25.6,24.9
남해,fth59,통영 학림,통영 학림(fth59),2024-09-24,25.1,25.1,25.0
남해,fth59,통영 학림,통영 학림(fth59),2024-09-25,25.5,25.5,25.4
남해,fth59,통영 학림,통영 학림(fth59),2024-09-26,25.7,25.7,25.6
남해,fth59,통영 학림,통영 학림(fth59),2024-09-27,25.8,25.8,25.6
남해,fth59,통영 학림,통영 학림(fth59),2024-09-28,25.8,25.8,25.8
남해,fth59,통영 학림,통영 학림(fth59),2024-09-29,25.6,25.6,25.6
남해,fth59,통영 학림,통영 학림(fth59),2024-09-30,25.6,25.6,25.5
남해,fth59,통영 학림,통영 학림(fth59),2024-10-01,25.8,25.8,25.7
남해,fth59,통영 학림,통영 학림(fth59),2024-10-02,25.4,25.4,25.3
남해,fth59,통영 학림,통영 학림(fth59),2024-10-03,24.7,24.7,24.7
남해,fth59,통영 학림,통영 학림(fth59),2024-10-04,24.3,24.3,24.2
남해,fth59,통영 학림,통영 학림(fth59),2024-10-05,24.1,24.1,24.1
남해,fth59,통영 학림,통영 학림(fth59),2024-10-06,24.0,23.9,23.9
남해,fth59,통영 학림,통영 학림(fth59),2024-10-07,23.7,23.7,23.7
남해,fth59,통영 학림,통영 학림(fth59),2024-10-08,23.6,23.6,23.5
남해,fth59,통영 학림,통영 학림(fth59),2024-10-09,23.4,23.4,23.4
남해,fth59,통영 학림,통영 학림(fth59),2024-10-10,23.3,23.4,23.3
남해,fth59,통영 학림,통영 학림(fth59),2024-10-11,23.5,23.5,23.4
남해,fth59,통영 학림,통영 학림(fth59),2024-10-12,23.5,23.6,23.4
남해,fth59,통영 학림,통영 학림(fth59),2024-10-13,23.5,23.5,23.4
남해,fth59,통영 학림,통영 학림(fth59),2024-10-14,23.3,23.3,23.2
남해,fth59,통영 학림,통영 학림(fth59),2024-10-15,23.2,23.3,23.0
남해,fth59,통영 학림,통영 학림(fth59),2024-10-16,22.9,23.0,22.7
남해,fth59,통영 학림,통영 학림(fth59),2024-10-17,22.4,22.5,22.2
남해,fth59,통영 학림,통영 학림(fth59),2024-10-18,22.0,22.1,21.8
남해,fth59,통영 학림,통영 학림(fth59),2024-10-19,22.2,22.4,22.0
남해,fth59,통영 학림,통영 학림(fth59),2024-10-20,21.6,21.5,21.5
남해,fth59,통영 학림,통영 학림(fth59),2024-10-21,21.4,21.4,21.3
남해,fth59,통영 학림,통영 학림(fth59),2024-10-22,21.5,21.5,21.4
남해,fth59,통영 학림,통영 학림(fth59),2024-10-23,21.7,21.7,21.6
남해,fth59,통영 학림,통영 학림(fth59),2024-10-24,21.4,21.3,21.4
남해,fth59,통영 학림,통영 학림(fth59),2024-10-25,21.2,21.2,21.2
남해,fth59,통영 학림,통영 학림(fth59),2024-10-26,21.3,21.3,21.3
남해,fth59,통영 학림,통영 학림(fth59),2024-10-27,21.4,21.4,21.3
남해,fth59,통영 학림,통영 학림(fth59),2024-10-28,21.3,21.2,21.3
남해,fth59,통영 학림,통영 학림(fth59),2024-10-29,21.1,21.1,21.1
남해,fth59,통영 학림,통영 학림(fth59),2024-10-30,21.2,21.1,21.1
남해,fth59,통영 학림,통영 학림(fth59),2024-10-31,21.1,21.1,21.0
남해,fth59,통영 학림,통영 학림(fth59),2024-11-01,20.9,20.9,20.9
남해,fth59,통영 학림,통영 학림(fth59),2024-11-02,20.8,20.7,20.8
남해,fth59,통영 학림,통영 학림(fth59),2024-11-03,20.8,20.7,20.7
남해,fth59,통영 학림,통영 학림(fth59),2024-11-04,20.8,20.7,20.7
남해,fth59,통영 학림,통영 학림(fth59),2024-11-05,20.7,20.6,20.7
남해,fth59,통영 학림,통영 학림(fth59),2024-11-06,20.5,20.5,20.4
남해,fth59,통영 학림,통영 학림(fth59),2024-11-07,20.4,20.4,20.3
남해,fth59,통영 학림,통영 학림(fth59),2024-11-08,20.2,20.2,20.2
