obsrvnGroupNm,obsvtrCd,obsvtrKornNm,staNam,obsrvnDt,wtemM,wtemS,wtemB
남해,fth59,통영 학림,통영 학림(fth59),2021-01-01,11.9,11.9,11.9
남해,fth59,통영 학림,통영 학림(fth59),2021-01-02,11.8,11.9,11.8
남해,fth59,통영 학림,통영 학림(fth59),2021-01-03,11.8,11.9,11.8
남해,fth59,통영 학림,통영 학림(fth59),2021-01-04,11.8,11.8,11.8
남해,fth59,통영 학림,통영 학림(fth59),2021-01-05,11.7,11.8,11.7
남해,fth59,통영 학림,통영 학림(fth59),2021-01-06,11.7,11.8,11.7
남해,fth59,통영 학림,통영 학림(fth59),2021-01-07,11.5,11.6,11.5
남해,fth59,통영 학림,통영 학림(fth59),2021-01-08,,11.4,
남해,fth59,통영 학림,통영 학림(fth59),2021-01-09,,11.2,
남해,fth59,통영 학림,통영 학림(fth59),2021-01-10,,11.1,
남해,fth59,통영 학림,통영 학림(fth59),2021-01-11,,11.1,
남해,fth59,통영 학림,통영 학림(fth59),2021-01-12,11.0,11.1,11.0
남해,fth59,통영 학림,통영 학림(fth59),2021-01-13,10.9,10.9,10.9
남해,fth59,통영 학림,통영 학림(fth59),2021-01-14,10.9,10.9,10.9
남해,fth59,통영 학림,통영 학림(fth59),2021-01-15,11.1,11.1,11.1
남해,fth59,통영 학림,통영 학림(fth59),2021-01-16,11.3,11.3,11.3
남해,fth59,통영 학림,통영 학림(fth59),2021-01-17,11.3,11.3,11.2
남해,fth59,통영 학림,통영 학림(fth59),2021-01-18,11.2,11.2,11.2
남해,fth59,통영 학림,통영 학림(fth59),2021-01-19,11.1,11.1,11.1
남해,fth59,통영 학림,통영 학림(fth59),2021-01-20,10.9,11.0,10.9
남해,fth59,통영 학림,통영 학림(fth59),2021-01-21,11.0,11.0,10.9
남해,fth59,통영 학림,통영 학림(fth59),2021-01-22,10.9,10.9,10.8
남해,fth59,통영 학림,통영 학림(fth59),2021-01-23,11.0,11.0,11.0
남해,fth59,통영 학림,통영 학림(fth59),2021-01-24,11.1,11.1,11.1
남해,fth59,통영 학림,통영 학림(fth59),2021-01-25,11.2,11.2,11.2
남해,fth59,통영 학림,통영 학림(fth59),2021-01-26,11.2,11.2,11.1
남해,fth59,통영 학림,통영 학림(fth59),2021-01-27,11.1,11.1,11.1
남해,fth59,통영 학림,통영 학림(fth59),2021-01-28,11.1,11.1,11.1
남해,fth59,통영 학림,통영 학림(fth59),2021-01-29,10.9,10.9,10.9
남해,fth59,통영 학림,통영 학림(fth59),2021-01-30,11.0,11.0,10.9
남해,fth59,통영 학림,통영 학림(fth59),2021-01-31,11.1,11.1,11.1
남해,fth59,통영 학림,통영 학림(fth59),2021-02-01,11.2,11.2,11.2
남해,fth59,통영 학림,통영 학림(fth59),2021-02-02,11.1,11.1,11.1
남해,fth59,통영 학림,통영 학림(fth59),2021-02-03,11.0,11.0,11.0
남해,fth59,통영 학림,통영 학림(fth59),2021-02-04,11.1,11.1,11.0
남해,fth59,통영 학림,통영 학림(fth59),2021-02-05,11.0,11.0,11.0
남해,fth59,통영 학림,통영 학림(fth59),2021-02-06,11.1,11.1,11.1
남해,fth59,통영 학림,통영 학림(fth59),2021-02-07,11.1,11.1,11.1
남해,fth59,통영 학림,통영 학림(fth59),2021-02-08,11.1,11.1,11.1
남해,fth59,통영 학림,통영 학림(fth59),2021-02-09,11.0,11.0,11.0
남해,fth59,통영 학림,통영 학림(fth59),2021-02-10,11.0,11.0,11.0
남해,fth59,통영 학림,통영 학림(fth59),2021-02-11,11.0,11.0,11.0
남해,fth59,통영 학림,통영 학림(fth59),2021-02-12,11.0,11.0,11.0
남해,fth59,통영 학림,통영 학림(fth59),2021-02-13,11.1,11.2,11.1
남해,fth59,통영 학림,통영 학림(fth59),2021-02-14,11.2,11.2,11.2
남해,fth59,통영 학림,통영 학림(fth59),2021-02-15,11.2,11.2,11.2
남해,fth59,통영 학림,통영 학림(fth59),2021-02-16,11.1,11.1,11.1
남해,fth59,통영 학림,통영 학림(fth59),2021-02-17,10.9,10.9,10.9
남해,fth59,통영 학림,통영 학림(fth59),2021-02-18,10.7,10.7,10.6
남해,fth59,통영 학림,통영 학림(fth59),2021-02-19,10.6,10.6,10.6
남해,fth59,통영 학림,통영 학림(fth59),2021-02-20,10.7,10.8,10.7
남해,fth59,통영 학림,통영 학림(fth59),2021-02-21,10.8,10.9,10.7
남해,fth59,통영 학림,통영 학림(fth59),2021-02-22,10.9,10.9,10.8
남해,fth59,통영 학림,통영 학림(fth59),2021-02-23,11.0,11.0,11.0
남해,fth59,통영 학림,통영 학림(fth59),2021-02-24,11.1,11.1,11.1
남해,fth59,통영 학림,통영 학림(fth59),2021-02-25,11.1,11.1,11.1
남해,fth59,통영 학림,통영 학림(fth59),2021-02-26,11.1,11.1,11.1
남해,fth59,통영 학림,통영 학림(fth59),2021-02-27,11.1,11.1,11.0
남해,fth59,통영 학림,통영 학림(fth59),2021-02-28,11.0,11.0,11.0
남해,fth59,통영 학림,통영 학림(fth59),2021-03-01,10.9,11.0,10.9
남해,fth59,통영 학림,통영 학림(fth59),2021-03-02,11.0,11.0,11.0
남해,fth59,통영 학림,통영 학림(fth59),2021-03-03,11.0,11.0,11.0
남해,fth59,통영 학림,통영 학림(fth59),2021-03-04,11.1,11.1,11.1
남해,fth59,통영 학림,통영 학림(fth59),2021-03-05,11.1,11.1,11.1
남해,fth59,통영 학림,통영 학림(fth59),2021-03-06,11.3,11.3,11.3
남해,fth59,통영 학림,통영 학림(fth59),2021-03-07,11.3,11.3,11.2
남해,fth59,통영 학림,통영 학림(fth59),2021-03-08,11.3,11.4,11.3
남해,fth59,통영 학림,통영 학림(fth59),2021-03-09,11.4,11.4,11.4
남해,fth59,통영 학림,통영 학림(fth59),2021-03-10,11.5,11.5,11.5
남해,fth59,통영 학림,통영 학림(fth59),2021-03-11,11.6,11.6,11.6
남해,fth59,통영 학림,통영 학림(fth59),2021-03-12,11.6,11.6,11.6
남해,fth59,통영 학림,통영 학림(fth59),2021-03-13,11.6,11.6,11.6
남해,fth59,통영 학림,통영 학림(fth59),2021-03-14,11.8,11.8,11.8
남해,fth59,통영 학림,통영 학림(fth59),2021-03-15,11.8,11.9,11.8
남해,fth59,통영 학림,통영 학림(fth59),2021-03-16,12.0,12.1,12.0
남해,fth59,통영 학림,통영 학림(fth59),2021-03-17,12.1,12.1,12.1
남해,fth59,통영 학림,통영 학림(fth59),2021-03-18,12.2,12.2,12.1
남해,fth59,통영 학림,통영 학림(fth59),2021-03-19,12.2,12.3,12.2
남해,fth59,통영 학림,통영 학림(fth59),2021-03-20,12.2,12.2,12.2
남해,fth59,통영 학림,통영 학림(fth59),2021-03-21,12.2,12.2,12.2
남해,fth59,통영 학림,통영 학림(fth59),2021-03-22,12.1,12.1,12.0
남해,fth59,통영 학림,통영 학림(fth59),2021-03-23,12.0,12.1,12.0
남해,fth59,통영 학림,통영 학림(fth59),2021-03-24,12.0,12.1,12.0
