obsrvnGroupNm,obsvtrCd,obsvtrKornNm,staNam,obsrvnDt,wtemM,wtemS,wtemB
남해,fth59,통영 학림,통영 학림(fth59),2025-01-01,12.8,12.8,12.8
남해,fth59,통영 학림,통영 학림(fth59),2025-01-02,12.8,12.8,12.8
남해,fth59,통영 학림,통영 학림(fth59),2025-01-03,12.7,12.7,12.7
남해,fth59,통영 학림,통영 학림(fth59),2025-01-04,12.6,12.6,12.6
남해,fth59,통영 학림,통영 학림(fth59),2025-01-05,12.6,12.6,12.5
남해,fth59,통영 학림,통영 학림(fth59),2025-01-06,12.4,12.4,12.4
남해,fth59,통영 학림,통영 학림(fth59),2025-01-07,12.2,12.2,12.2
남해,fth59,통영 학림,통영 학림(fth59),2025-01-08,12.1,12.1,12.1
남해,fth59,통영 학림,통영 학림(fth59),2025-01-09,11.9,11.9,11.8
남해,fth59,통영 학림,통영 학림(fth59),2025-01-10,11.7,11.7,11.6
남해,fth59,통영 학림,통영 학림(fth59),2025-01-11,11.5,11.5,11.5
남해,fth59,통영 학림,통영 학림(fth59),2025-01-12,11.4,11.4,11.4
남해,fth59,통영 학림,통영 학림(fth59),2025-01-13,11.3,11.3,11.2
남해,fth59,통영 학림,통영 학림(fth59),2025-01-14,11.2,11.2,11.2
남해,fth59,통영 학림,통영 학림(fth59),2025-01-15,11.1,11.1,11.0
남해,fth59,통영 학림,통영 학림(fth59),2025-01-16,10.9,10.9,10.9
남해,fth59,통영 학림,통영 학림(fth59),2025-01-17,10.8,10.8,10.8
남해,fth59,통영 학림,통영 학림(fth59),2025-01-18,10.8,10.8,10.7
남해,fth59,통영 학림,통영 학림(fth59),2025-01-19,10.7,10.7,10.7
남해,fth59,통영 학림,통영 학림(fth59),2025-01-20,10.7,10.7,10.6
남해,fth59,통영 학림,통영 학림(fth59),2025-01-21,10.6,10.6,10.6
남해,fth59,통영 학림,통영 학림(fth59),2025-01-22,10.6,10.6,10.5
남해,fth59,통영 학림,통영 학림(fth59),2025-01-23,10.5,10.6,10.5
남해,fth59,통영 학림,통영 학림(fth59),2025-01-24,10.5,10.5,10.5
남해,fth59,통영 학림,통영 학림(fth59),2025-01-25,10.5,10.5,10.4
남해,fth59,통영 학림,통영 학림(fth59),2025-01-26,10.5,10.5,10.5
남해,fth59,통영 학림,통영 학림(fth59),2025-01-27,10.5,10.5,10.5
남해,fth59,통영 학림,통영 학림(fth59),2025-01-28,10.3,10.3,10.2
남해,fth59,통영 학림,통영 학림(fth59),2025-01-29,10.1,10.1,10.0
남해,fth59,통영 학림,통영 학림(fth59),2025-01-30,10.1,10.1,10.0
남해,fth59,통영 학림,통영 학림(fth59),2025-01-31,10.2,10.2,10.2
남해,fth59,통영 학림,통영 학림(fth59),2025-02-01,10.3,10.2,10.2
남해,fth59,통영 학림,통영 학림(fth59),2025-02-02,10.2,10.2,10.2
남해,fth59,통영 학림,통영 학림(fth59),2025-02-03,10.3,10.3,10.2
남해,fth59,통영 학림,통영 학림(fth59),2025-02-04,10.1,10.1,10.1
남해,fth59,통영 학림,통영 학림(fth59),2025-02-05,10.0,10.0,10.0
남해,fth59,통영 학림,통영 학림(fth59),2025-02-06,9.9,9.9,9.9
남해,fth59,통영 학림,통영 학림(fth59),2025-02-07,9.8,9.8,9.8
남해,fth59,통영 학림,통영 학림(fth59),2025-02-08,9.7,9.7,9.7
남해,fth59,통영 학림,통영 학림(fth59),2025-02-09,9.7,9.7,9.6
남해,fth59,통영 학림,통영 학림(fth59),2025-02-10,9.7,9.7,9.6
남해,fth59,통영 학림,통영 학림(fth59),2025-02-11,9.7,9.7,9.6
남해,fth59,통영 학림,통영 학림(fth59),2025-02-12,9.6,9.6,9.6
남해,fth59,통영 학림,통영 학림(fth59),2025-02-13,9.6,9.6,9.6
남해,fth59,통영 학림,통영 학림(fth59),2025-02-14,9.7,9.7,9.6
남해,fth59,통영 학림,통영 학림(fth59),2025-02-15,9.7,9.7,9.7
남해,fth59,통영 학림,통영 학림(fth59),2025-02-16,9.8,9.8,9.7
남해,fth59,통영 학림,통영 학림(fth59),2025-02-17,9.8,9.8,9.8
남해,fth59,통영 학림,통영 학림(fth59),2025-02-18,9.8,9.8,9.7
남해,fth59,통영 학림,통영 학림(fth59),2025-02-19,9.7,9.7,9.7
남해,fth59,통영 학림,통영 학림(fth59),2025-02-20,9.6,9.7,9.6
남해,fth59,통영 학림,통영 학림(fth59),2025-02-21,9.6,9.6,9.6
남해,fth59,통영 학림,통영 학림(fth59),2025-02-22,9.5,9.5,9.5
남해,fth59,통영 학림,통영 학림(fth59),2025-02-23,9.5,9.5,9.4
남해,fth59,통영 학림,통영 학림(fth59),2025-02-24,9.3,9.3,9.3
남해,fth59,통영 학림,통영 학림(fth59),2025-02-25,9.3,9.3,9.2
남해,fth59,통영 학림,통영 학림(fth59),2025-02-26,9.2,9.2,9.2
남해,fth59,통영 학림,통영 학림(fth59),2025-02-27,9.2,9.2,9.2
남해,fth59,통영 학림,통영 학림(fth59),2025-02-28,9.3,9.3,9.2
남해,fth59,통영 학림,통영 학림(fth59),2025-03-01,9.4,9.4,9.3
남해,fth59,통영 학림,통영 학림(fth59),2025-03-02,9.5,9.5,9.5
남해,fth59,통영 학림,통영 학림(fth59),2025-03-03,9.5,9.5,9.5
남해,fth59,통영 학림,통영 학림(fth59),2025-03-04,9.3,9.3,9.3
남해,fth59,통영 학림,통영 학림(fth59),2025-03-05,9.2,9.3,9.2
남해,fth59,통영 학림,통영 학림(fth59),2025-03-06,9.2,9.2,9.2
남해,fth59,통영 학림,통영 학림(fth59),2025-03-07,9.2,9.2,9.1
남해,fth59,통영 학림,통영 학림(fth59),2025-03-08,9.3,9.3,9.2
