year,남해군,여수,완도,통영
2021,25.89,26.35,26.24,24.6
2022,23.65,25.33,25.07,22.41
2023,24.55,24.83,26.12,23.98
2024,25.03,26.35,26.64,24.35
2025,23.75,25.23,26.09,23.48
