,전체,전체,전체,25℃이상,25℃이상,25℃이상
h,1,3,7,1,3,7
config,,,,,,
수과원만|기존모델|여름전체,0.42406164619093645,0.9257922454121545,1.51625631043968,0.3997430039067782,0.9337869152861924,1.6458821833548365
수과원만|기존모델|고수온(위험-8℃+),0.42221922725419453,0.9244020432590649,1.532493579929105,0.3974359053441976,0.9318649151207384,1.6816261173333764
수과원만|기존+기간평균패턴|여름전체,0.458481114851727,0.9261731234837024,1.5012807188054222,0.4110697624039969,0.9637670684774038,1.7119019505451392
수과원만|기존+기간평균패턴|고수온(위험-8℃+),0.45430631683837586,0.9203373212938395,1.4931150354008222,0.40453969211804064,0.945364693395867,1.6954046184707896
통합|기존모델|여름전체,0.4416303082882888,0.9525739253219138,1.4778142342356213,0.4433871347610884,1.0664452324825426,1.8225796662186515
통합|기존모델|고수온(위험-8℃+),0.4374816041748091,0.9444628335031703,1.4714744919387748,0.4361854985428322,1.045646407321784,1.7965024888855226
통합|기존+기간평균패턴|여름전체,0.44247911162001835,0.9423154553727207,1.436881202658117,0.4444171682719316,1.05010710840074,1.756787064269513
통합|기존+기간평균패턴|고수온(위험-8℃+),0.43844106600992855,0.934967150484082,1.43134278900849,0.43958411062484054,1.0381701051397059,1.7469901267426795
통합+가중치|기존모델|여름전체,0.43267191956353657,0.9293125784938799,1.4445966509934791,0.4265051185891878,1.0133266469531037,1.7329008241939619
통합+가중치|기존모델|고수온(위험-8℃+),0.4295397276798816,0.9238081913075916,1.4459618907241742,0.4213332240751092,0.9994031683414091,1.7272106823173654
통합+가중치|기존+기간평균패턴|여름전체,0.4342919468141755,0.9223827781459417,1.41067120774828,0.43013601132281276,1.0083136391059195,1.6986976765947142
통합+가중치|기존+기간평균패턴|고수온(위험-8℃+),0.4309338205948988,0.9165786742821693,1.4057470429779522,0.42528434562881656,0.9954447054688065,1.686332977850487
