scenario,config,margin,region,actual_events,hit,false_alarm,abs_err_sum,signed_err_sum
예보없음,통합+가중치|기존+기간평균패턴|고수온(위험-8℃+),0.5,완도,20,11,5,21.0,-17.0
예보없음,통합+가중치|기존+기간평균패턴|고수온(위험-8℃+),1.0,완도,20,19,16,44.0,-40.0
예보없음,통합+가중치|기존+기간평균패턴|고수온(위험-8℃+),0.0,통영,26,0,0,0.0,0.0
예보없음,통합+가중치|기존+기간평균패턴|고수온(위험-8℃+),0.5,통영,26,7,1,8.0,-8.0
예보없음,통합+가중치|기존+기간평균패턴|고수온(위험-8℃+),1.0,통영,26,13,5,21.0,-21.0
예보없음,통합+가중치|기존+기간평균패턴|여름전체,0.0,남해군,8,0,0,0.0,0.0
예보없음,통합+가중치|기존+기간평균패턴|여름전체,0.5,남해군,8,1,1,0.0,0.0
예보없음,통합+가중치|기존+기간평균패턴|여름전체,1.0,남해군,8,1,3,0.0,0.0
예보없음,통합+가중치|기존+기간평균패턴|여름전체,0.0,여수,14,0,0,0.0,0.0
예보없음,통합+가중치|기존+기간평균패턴|여름전체,0.5,여수,14,3,1,3.0,-3.0
예보없음,통합+가중치|기존+기간평균패턴|여름전체,1.0,여수,14,6,1,10.0,-10.0
예보없음,통합+가중치|기존+기간평균패턴|여름전체,0.0,완도,20,1,0,4.0,-4.0
예보없음,통합+가중치|기존+기간평균패턴|여름전체,0.5,완도,20,11,3,21.0,-17.0
예보없음,통합+가중치|기존+기간평균패턴|여름전체,1.0,완도,20,19,15,43.0,-39.0
예보없음,통합+가중치|기존+기간평균패턴|여름전체,0.0,통영,26,0,0,0.0,0.0
예보없음,통합+가중치|기존+기간평균패턴|여름전체,0.5,통영,26,7,1,8.0,-8.0
예보없음,통합+가중치|기존+기간평균패턴|여름전체,1.0,통영,26,13,5,21.0,-21.0
예보없음,통합+가중치|기존모델|고수온(위험-8℃+),0.0,남해군,8,0,0,0.0,0.0
예보없음,통합+가중치|기존모델|고수온(위험-8℃+),0.5,남해군,8,1,1,0.0,0.0
예보없음,통합+가중치|기존모델|고수온(위험-8℃+),1.0,남해군,8,1,3,0.0,0.0
예보없음,통합+가중치|기존모델|고수온(위험-8℃+),0.0,여수,14,0,0,0.0,0.0
예보없음,통합+가중치|기존모델|고수온(위험-8℃+),0.5,여수,14,3,1,3.0,-3.0
예보없음,통합+가중치|기존모델|고수온(위험-8℃+),1.0,여수,14,7,1,11.0,-9.0
예보없음,통합+가중치|기존모델|고수온(위험-8℃+),0.0,완도,20,1,0,2.0,-2.0
예보없음,통합+가중치|기존모델|고수온(위험-8℃+),0.5,완도,20,11,4,21.0,-21.0
예보없음,통합+가중치|기존모델|고수온(위험-8℃+),1.0,완도,20,17,14,39.0,-39.0
예보없음,통합+가중치|기존모델|고수온(위험-8℃+),0.0,통영,26,0,0,0.0,0.0
예보없음,통합+가중치|기존모델|고수온(위험-8℃+),0.5,통영,26,6,1,6.0,-6.0
예보없음,통합+가중치|기존모델|고수온(위험-8℃+),1.0,통영,26,13,10,21.0,-21.0
예보없음,통합+가중치|기존모델|여름전체,0.0,남해군,8,0,0,0.0,0.0
예보없음,통합+가중치|기존모델|여름전체,0.5,남해군,8,1,1,0.0,0.0
예보없음,통합+가중치|기존모델|여름전체,1.0,남해군,8,1,3,0.0,0.0
예보없음,통합+가중치|기존모델|여름전체,0.0,여수,14,0,0,0.0,0.0
예보없음,통합+가중치|기존모델|여름전체,0.5,여수,14,3,1,3.0,-3.0
예보없음,통합+가중치|기존모델|여름전체,1.0,여수,14,7,1,11.0,-9.0
예보없음,통합+가중치|기존모델|여름전체,0.0,완도,20,1,0,1.0,1.0
예보없음,통합+가중치|기존모델|여름전체,0.5,완도,20,11,2,21.0,-21.0
예보없음,통합+가중치|기존모델|여름전체,1.0,완도,20,17,14,39.0,-35.0
예보없음,통합+가중치|기존모델|여름전체,0.0,통영,26,0,0,0.0,0.0
예보없음,통합+가중치|기존모델|여름전체,0.5,통영,26,5,1,5.0,-5.0
예보없음,통합+가중치|기존모델|여름전체,1.0,통영,26,13,10,21.0,-21.0
예보없음,통합|기존+기간평균패턴|고수온(위험-8℃+),0.0,남해군,8,0,0,0.0,0.0
예보없음,통합|기존+기간평균패턴|고수온(위험-8℃+),0.5,남해군,8,1,1,0.0,0.0
예보없음,통합|기존+기간평균패턴|고수온(위험-8℃+),1.0,남해군,8,1,3,0.0,0.0
예보없음,통합|기존+기간평균패턴|고수온(위험-8℃+),0.0,여수,14,0,1,0.0,0.0
예보없음,통합|기존+기간평균패턴|고수온(위험-8℃+),0.5,여수,14,3,1,3.0,-3.0
예보없음,통합|기존+기간평균패턴|고수온(위험-8℃+),1.0,여수,14,6,2,10.0,-10.0
예보없음,통합|기존+기간평균패턴|고수온(위험-8℃+),0.0,완도,20,2,1,6.0,-2.0
예보없음,통합|기존+기간평균패턴|고수온(위험-8℃+),0.5,완도,20,9,3,18.0,-18.0
예보없음,통합|기존+기간평균패턴|고수온(위험-8℃+),1.0,완도,20,18,14,41.0,-33.0
예보없음,통합|기존+기간평균패턴|고수온(위험-8℃+),0.0,통영,26,0,0,0.0,0.0
예보없음,통합|기존+기간평균패턴|고수온(위험-8℃+),0.5,통영,26,7,1,8.0,-8.0
예보없음,통합|기존+기간평균패턴|고수온(위험-8℃+),1.0,통영,26,13,6,21.0,-21.0
예보없음,통합|기존+기간평균패턴|여름전체,0.0,남해군,8,0,0,0.0,0.0
예보없음,통합|기존+기간평균패턴|여름전체,0.5,남해군,8,1,1,0.0,0.0
예보없음,통합|기존+기간평균패턴|여름전체,1.0,남해군,8,1,3,0.0,0.0
예보없음,통합|기존+기간평균패턴|여름전체,0.0,여수,14,0,1,0.0,0.0
예보없음,통합|기존+기간평균패턴|여름전체,0.5,여수,14,2,1,1.0,-1.0
예보없음,통합|기존+기간평균패턴|여름전체,1.0,여수,14,6,2,10.0,-10.0
예보없음,통합|기존+기간평균패턴|여름전체,0.0,완도,20,1,1,4.0,-4.0
예보없음,통합|기존+기간평균패턴|여름전체,0.5,완도,20,9,3,19.0,-17.0
예보없음,통합|기존+기간평균패턴|여름전체,1.0,완도,20,17,10,39.0,-33.0
예보없음,통합|기존+기간평균패턴|여름전체,0.0,통영,26,0,0,0.0,0.0
예보없음,통합|기존+기간평균패턴|여름전체,0.5,통영,26,5,1,5.0,-5.0
예보없음,통합|기존+기간평균패턴|여름전체,1.0,통영,26,13,6,21.0,-21.0
예보없음,통합|기존모델|고수온(위험-8℃+),0.0,남해군,8,0,0,0.0,0.0
예보없음,통합|기존모델|고수온(위험-8℃+),0.5,남해군,8,1,1,0.0,0.0
예보없음,통합|기존모델|고수온(위험-8℃+),1.0,남해군,8,1,3,0.0,0.0
예보없음,통합|기존모델|고수온(위험-8℃+),0.0,여수,14,0,0,0.0,0.0
예보없음,통합|기존모델|고수온(위험-8℃+),0.5,여수,14,3,1,3.0,-3.0
예보없음,통합|기존모델|고수온(위험-8℃+),1.0,여수,14,6,1,10.0,-10.0
예보없음,통합|기존모델|고수온(위험-8℃+),0.0,완도,20,1,0,1.0,-1.0
예보없음,통합|기존모델|고수온(위험-8℃+),0.5,완도,20,10,3,20.0,-18.0
예보없음,통합|기존모델|고수온(위험-8℃+),1.0,완도,20,16,12,37.0,-33.0
예보없음,통합|기존모델|고수온(위험-8℃+),0.0,통영,26,0,0,0.0,0.0
예보없음,통합|기존모델|고수온(위험-8℃+),0.5,통영,26,5,1,5.0,-5.0
예보없음,통합|기존모델|고수온(위험-8℃+),1.0,통영,26,13,10,21.0,-21.0
예보없음,통합|기존모델|여름전체,0.0,남해군,8,0,0,0.0,0.0
예보없음,통합|기존모델|여름전체,0.5,남해군,8,1,1,0.0,0.0
예보없음,통합|기존모델|여름전체,1.0,남해군,8,1,3,0.0,0.0
예보없음,통합|기존모델|여름전체,0.0,여수,14,0,0,0.0,0.0
예보없음,통합|기존모델|여름전체,0.5,여수,14,3,1,3.0,-3.0
예보없음,통합|기존모델|여름전체,1.0,여수,14,6,1,10.0,-10.0
예보없음,통합|기존모델|여름전체,0.0,완도,20,0,0,0.0,0.0
예보없음,통합|기존모델|여름전체,0.5,완도,20,8,3,18.0,-18.0
예보없음,통합|기존모델|여름전체,1.0,완도,20,13,11,26.0,-26.0
예보없음,통합|기존모델|여름전체,0.0,통영,26,0,0,0.0,0.0
예보없음,통합|기존모델|여름전체,0.5,통영,26,4,1,5.0,-5.0
예보없음,통합|기존모델|여름전체,1.0,통영,26,13,10,21.0,-21.0
