obsrvnGroupNm,obsvtrCd,obsvtrKornNm,staNam,obsrvnDt,wtemS
남해,km001,여수 신월,여수 신월(km001),2022-04-09,13.8
남해,km001,여수 신월,여수 신월(km001),2022-04-10,14.1
남해,km001,여수 신월,여수 신월(km001),2022-04-11,14.2
남해,km001,여수 신월,여수 신월(km001),2022-04-12,14.4
남해,km001,여수 신월,여수 신월(km001),2022-04-13,15.2
남해,km001,여수 신월,여수 신월(km001),2022-04-14,14.9
남해,km001,여수 신월,여수 신월(km001),2022-04-15,14.9
남해,km001,여수 신월,여수 신월(km001),2022-04-16,15.0
남해,km001,여수 신월,여수 신월(km001),2022-04-17,14.9
남해,km001,여수 신월,여수 신월(km001),2022-04-18,14.9
남해,km001,여수 신월,여수 신월(km001),2022-04-19,15.0
남해,km001,여수 신월,여수 신월(km001),2022-04-20,15.2
남해,km001,여수 신월,여수 신월(km001),2022-04-21,15.3
남해,km001,여수 신월,여수 신월(km001),2022-04-22,15.3
남해,km001,여수 신월,여수 신월(km001),2022-04-23,15.6
남해,km001,여수 신월,여수 신월(km001),2022-04-24,16.0
남해,km001,여수 신월,여수 신월(km001),2022-04-25,16.5
남해,km001,여수 신월,여수 신월(km001),2022-04-26,16.8
남해,km001,여수 신월,여수 신월(km001),2022-04-27,16.8
남해,km001,여수 신월,여수 신월(km001),2022-04-28,16.9
남해,km001,여수 신월,여수 신월(km001),2022-04-29,16.6
남해,km001,여수 신월,여수 신월(km001),2022-04-30,16.4
남해,km001,여수 신월,여수 신월(km001),2022-05-01,16.3
남해,km001,여수 신월,여수 신월(km001),2022-05-02,16.3
남해,km001,여수 신월,여수 신월(km001),2022-05-03,16.4
남해,km001,여수 신월,여수 신월(km001),2022-05-04,16.6
남해,km001,여수 신월,여수 신월(km001),2022-05-05,17.0
남해,km001,여수 신월,여수 신월(km001),2022-05-06,17.4
남해,km001,여수 신월,여수 신월(km001),2022-05-07,17.7
남해,km001,여수 신월,여수 신월(km001),2022-05-08,18.2
남해,km001,여수 신월,여수 신월(km001),2022-05-09,18.1
남해,km001,여수 신월,여수 신월(km001),2022-05-10,17.9
남해,km001,여수 신월,여수 신월(km001),2022-05-11,17.8
남해,km001,여수 신월,여수 신월(km001),2022-05-12,18.1
남해,km001,여수 신월,여수 신월(km001),2022-05-13,18.6
남해,km001,여수 신월,여수 신월(km001),2022-05-14,18.5
남해,km001,여수 신월,여수 신월(km001),2022-05-15,18.2
남해,km001,여수 신월,여수 신월(km001),2022-05-16,18.1
남해,km001,여수 신월,여수 신월(km001),2022-05-17,18.1
남해,km001,여수 신월,여수 신월(km001),2022-05-18,18.3
남해,km001,여수 신월,여수 신월(km001),2022-05-19,18.5
남해,km001,여수 신월,여수 신월(km001),2022-05-20,18.5
남해,km001,여수 신월,여수 신월(km001),2022-05-21,18.6
남해,km001,여수 신월,여수 신월(km001),2022-05-22,19.3
남해,km001,여수 신월,여수 신월(km001),2022-05-23,19.9
남해,km001,여수 신월,여수 신월(km001),2022-05-24,20.0
남해,km001,여수 신월,여수 신월(km001),2022-05-25,20.3
남해,km001,여수 신월,여수 신월(km001),2022-05-26,20.6
남해,km001,여수 신월,여수 신월(km001),2022-05-27,20.6
남해,km001,여수 신월,여수 신월(km001),2022-05-28,20.9
남해,km001,여수 신월,여수 신월(km001),2022-05-29,20.8
남해,km001,여수 신월,여수 신월(km001),2022-05-30,20.8
남해,km001,여수 신월,여수 신월(km001),2022-05-31,20.6
남해,km001,여수 신월,여수 신월(km001),2022-06-01,20.9
남해,km001,여수 신월,여수 신월(km001),2022-06-02,20.9
남해,km001,여수 신월,여수 신월(km001),2022-06-03,21.0
남해,km001,여수 신월,여수 신월(km001),2022-06-04,21.3
남해,km001,여수 신월,여수 신월(km001),2022-06-05,21.1
남해,km001,여수 신월,여수 신월(km001),2022-06-06,20.5
남해,km001,여수 신월,여수 신월(km001),2022-06-07,20.3
남해,km001,여수 신월,여수 신월(km001),2022-06-08,20.1
남해,km001,여수 신월,여수 신월(km001),2022-06-09,20.4
남해,km001,여수 신월,여수 신월(km001),2022-06-10,20.9
남해,km001,여수 신월,여수 신월(km001),2022-06-11,21.2
남해,km001,여수 신월,여수 신월(km001),2022-06-12,21.5
남해,km001,여수 신월,여수 신월(km001),2022-06-13,21.4
남해,km001,여수 신월,여수 신월(km001),2022-06-14,21.0
남해,km001,여수 신월,여수 신월(km001),2022-06-15,20.9
남해,km001,여수 신월,여수 신월(km001),2022-06-16,21.3
남해,km001,여수 신월,여수 신월(km001),2022-06-17,21.7
남해,km001,여수 신월,여수 신월(km001),2022-06-18,21.9
남해,km001,여수 신월,여수 신월(km001),2022-06-19,22.4
남해,km001,여수 신월,여수 신월(km001),2022-06-20,22.8
남해,km001,여수 신월,여수 신월(km001),2022-06-21,23.0
남해,km001,여수 신월,여수 신월(km001),2022-06-22,23.7
남해,km001,여수 신월,여수 신월(km001),2022-06-23,24.3
남해,km001,여수 신월,여수 신월(km001),2022-06-24,24.4
남해,km001,여수 신월,여수 신월(km001),2022-06-25,24.2
남해,km001,여수 신월,여수 신월(km001),2022-06-26,24.4
남해,km001,여수 신월,여수 신월(km001),2022-06-27,24.6
남해,km001,여수 신월,여수 신월(km001),2022-06-28,24.7
남해,km001,여수 신월,여수 신월(km001),2022-06-29,24.8
남해,km001,여수 신월,여수 신월(km001),2022-06-30,24.9
남해,km001,여수 신월,여수 신월(km001),2022-07-01,24.9
남해,km001,여수 신월,여수 신월(km001),2022-07-02,24.8
남해,km001,여수 신월,여수 신월(km001),2022-07-03,24.6
남해,km001,여수 신월,여수 신월(km001),2022-07-04,24.4
남해,km001,여수 신월,여수 신월(km001),2022-07-05,24.6
남해,km001,여수 신월,여수 신월(km001),2022-07-06,24.8
남해,km001,여수 신월,여수 신월(km001),2022-07-07,26.0
남해,km001,여수 신월,여수 신월(km001),2022-07-08,26.9
남해,km001,여수 신월,여수 신월(km001),2022-07-09,26.7
남해,km001,여수 신월,여수 신월(km001),2022-07-10,26.0
남해,km001,여수 신월,여수 신월(km001),2022-07-11,26.1
남해,km001,여수 신월,여수 신월(km001),2022-07-12,25.9
남해,km001,여수 신월,여수 신월(km001),2022-07-13,25.8
남해,km001,여수 신월,여수 신월(km001),2022-07-14,25.6
남해,km001,여수 신월,여수 신월(km001),2022-07-15,26.0
남해,km001,여수 신월,여수 신월(km001),2022-07-16,25.7
남해,km001,여수 신월,여수 신월(km001),2022-07-17,25.8
남해,km001,여수 신월,여수 신월(km001),2022-07-18,25.1
남해,km001,여수 신월,여수 신월(km001),2022-07-19,24.9
남해,km001,여수 신월,여수 신월(km001),2022-07-20,24.5
남해,km001,여수 신월,여수 신월(km001),2022-07-21,25.3
남해,km001,여수 신월,여수 신월(km001),2022-07-22,25.4
남해,km001,여수 신월,여수 신월(km001),2022-07-23,25.0
남해,km001,여수 신월,여수 신월(km001),2022-07-24,25.7
남해,km001,여수 신월,여수 신월(km001),2022-07-25,25.9
남해,km001,여수 신월,여수 신월(km001),2022-07-26,25.5
남해,km001,여수 신월,여수 신월(km001),2022-07-27,25.3
남해,km001,여수 신월,여수 신월(km001),2022-07-28,25.4
남해,km001,여수 신월,여수 신월(km001),2022-07-29,25.2
남해,km001,여수 신월,여수 신월(km001),2022-07-30,25.3
남해,km001,여수 신월,여수 신월(km001),2022-07-31,25.3
남해,km001,여수 신월,여수 신월(km001),2022-08-01,25.5
남해,km001,여수 신월,여수 신월(km001),2022-08-02,26.1
남해,km001,여수 신월,여수 신월(km001),2022-08-03,26.1
남해,km001,여수 신월,여수 신월(km001),2022-08-04,26.5
남해,km001,여수 신월,여수 신월(km001),2022-08-05,27.2
남해,km001,여수 신월,여수 신월(km001),2022-08-06,27.7
남해,km001,여수 신월,여수 신월(km001),2022-08-07,28.1
남해,km001,여수 신월,여수 신월(km001),2022-08-08,28.6
남해,km001,여수 신월,여수 신월(km001),2022-08-09,28.7
남해,km001,여수 신월,여수 신월(km001),2022-08-10,28.5
남해,km001,여수 신월,여수 신월(km001),2022-08-11,27.9
남해,km001,여수 신월,여수 신월(km001),2022-08-12,27.2
남해,km001,여수 신월,여수 신월(km001),2022-08-13,26.7
남해,km001,여수 신월,여수 신월(km001),2022-08-14,26.6
남해,km001,여수 신월,여수 신월(km001),2022-08-15,26.5
남해,km001,여수 신월,여수 신월(km001),2022-08-16,26.6
남해,km001,여수 신월,여수 신월(km001),2022-08-17,25.9
남해,km001,여수 신월,여수 신월(km001),2022-08-18,25.5
남해,km001,여수 신월,여수 신월(km001),2022-08-19,25.4
남해,km001,여수 신월,여수 신월(km001),2022-08-20,25.9
남해,km001,여수 신월,여수 신월(km001),2022-08-21,24.9
남해,km001,여수 신월,여수 신월(km001),2022-08-22,25.1
남해,km001,여수 신월,여수 신월(km001),2022-08-23,25.7
