obsrvnGroupNm,obsvtrCd,obsvtrKornNm,staNam,obsrvnDt,wtemS
남해,km001,여수 신월,여수 신월(km001),2021-01-01,5.6
남해,km001,여수 신월,여수 신월(km001),2021-01-02,6.0
남해,km001,여수 신월,여수 신월(km001),2021-01-03,6.3
남해,km001,여수 신월,여수 신월(km001),2021-01-04,5.8
남해,km001,여수 신월,여수 신월(km001),2021-01-05,5.6
남해,km001,여수 신월,여수 신월(km001),2021-01-06,5.1
남해,km001,여수 신월,여수 신월(km001),2021-01-07,4.4
남해,km001,여수 신월,여수 신월(km001),2021-01-08,4.1
남해,km001,여수 신월,여수 신월(km001),2021-01-09,3.4
남해,km001,여수 신월,여수 신월(km001),2021-01-10,3.4
남해,km001,여수 신월,여수 신월(km001),2021-01-11,3.6
남해,km001,여수 신월,여수 신월(km001),2021-01-12,4.1
남해,km001,여수 신월,여수 신월(km001),2021-01-13,4.5
남해,km001,여수 신월,여수 신월(km001),2021-01-14,4.9
남해,km001,여수 신월,여수 신월(km001),2021-01-15,5.8
남해,km001,여수 신월,여수 신월(km001),2021-01-16,6.6
남해,km001,여수 신월,여수 신월(km001),2021-01-17,5.8
남해,km001,여수 신월,여수 신월(km001),2021-01-18,5.3
남해,km001,여수 신월,여수 신월(km001),2021-01-19,5.4
남해,km001,여수 신월,여수 신월(km001),2021-01-20,5.0
남해,km001,여수 신월,여수 신월(km001),2021-01-21,5.0
남해,km001,여수 신월,여수 신월(km001),2021-01-22,5.2
남해,km001,여수 신월,여수 신월(km001),2021-01-23,5.5
남해,km001,여수 신월,여수 신월(km001),2021-01-24,5.5
남해,km001,여수 신월,여수 신월(km001),2021-01-25,5.8
남해,km001,여수 신월,여수 신월(km001),2021-01-26,6.0
남해,km001,여수 신월,여수 신월(km001),2021-01-27,6.2
남해,km001,여수 신월,여수 신월(km001),2021-01-28,6.6
남해,km001,여수 신월,여수 신월(km001),2021-01-29,6.3
남해,km001,여수 신월,여수 신월(km001),2021-01-30,5.8
남해,km001,여수 신월,여수 신월(km001),2021-01-31,5.9
남해,km001,여수 신월,여수 신월(km001),2021-02-01,6.5
남해,km001,여수 신월,여수 신월(km001),2021-02-02,6.9
남해,km001,여수 신월,여수 신월(km001),2021-02-03,6.6
남해,km001,여수 신월,여수 신월(km001),2021-02-04,6.4
남해,km001,여수 신월,여수 신월(km001),2021-02-05,6.2
남해,km001,여수 신월,여수 신월(km001),2021-02-06,6.3
남해,km001,여수 신월,여수 신월(km001),2021-02-07,6.7
남해,km001,여수 신월,여수 신월(km001),2021-02-08,6.8
남해,km001,여수 신월,여수 신월(km001),2021-02-09,6.2
남해,km001,여수 신월,여수 신월(km001),2021-02-10,5.9
남해,km001,여수 신월,여수 신월(km001),2021-02-11,6.3
남해,km001,여수 신월,여수 신월(km001),2021-02-12,6.6
남해,km001,여수 신월,여수 신월(km001),2021-02-13,7.2
남해,km001,여수 신월,여수 신월(km001),2021-02-14,7.7
남해,km001,여수 신월,여수 신월(km001),2021-02-15,8.1
남해,km001,여수 신월,여수 신월(km001),2021-02-16,7.9
남해,km001,여수 신월,여수 신월(km001),2021-02-17,6.7
남해,km001,여수 신월,여수 신월(km001),2021-02-18,5.7
남해,km001,여수 신월,여수 신월(km001),2021-02-19,5.8
남해,km001,여수 신월,여수 신월(km001),2021-02-20,6.5
남해,km001,여수 신월,여수 신월(km001),2021-02-21,7.3
남해,km001,여수 신월,여수 신월(km001),2021-02-22,8.2
남해,km001,여수 신월,여수 신월(km001),2021-02-23,8.4
남해,km001,여수 신월,여수 신월(km001),2021-02-24,7.8
남해,km001,여수 신월,여수 신월(km001),2021-02-25,7.8
남해,km001,여수 신월,여수 신월(km001),2021-02-26,7.7
남해,km001,여수 신월,여수 신월(km001),2021-02-27,7.9
남해,km001,여수 신월,여수 신월(km001),2021-02-28,7.7
남해,km001,여수 신월,여수 신월(km001),2021-03-01,8.1
남해,km001,여수 신월,여수 신월(km001),2021-03-02,8.7
남해,km001,여수 신월,여수 신월(km001),2021-03-03,8.8
남해,km001,여수 신월,여수 신월(km001),2021-03-04,8.8
남해,km001,여수 신월,여수 신월(km001),2021-03-05,8.8
남해,km001,여수 신월,여수 신월(km001),2021-03-06,9.0
남해,km001,여수 신월,여수 신월(km001),2021-03-07,9.0
남해,km001,여수 신월,여수 신월(km001),2021-03-08,9.2
남해,km001,여수 신월,여수 신월(km001),2021-03-09,9.6
남해,km001,여수 신월,여수 신월(km001),2021-03-10,10.0
남해,km001,여수 신월,여수 신월(km001),2021-03-11,10.2
남해,km001,여수 신월,여수 신월(km001),2021-03-12,10.4
남해,km001,여수 신월,여수 신월(km001),2021-03-13,10.4
남해,km001,여수 신월,여수 신월(km001),2021-03-14,10.7
남해,km001,여수 신월,여수 신월(km001),2021-03-15,11.1
남해,km001,여수 신월,여수 신월(km001),2021-03-16,11.6
남해,km001,여수 신월,여수 신월(km001),2021-03-17,11.7
남해,km001,여수 신월,여수 신월(km001),2021-03-18,12.0
남해,km001,여수 신월,여수 신월(km001),2021-03-19,12.3
남해,km001,여수 신월,여수 신월(km001),2021-03-20,12.3
남해,km001,여수 신월,여수 신월(km001),2021-03-21,12.0
남해,km001,여수 신월,여수 신월(km001),2021-03-22,11.4
남해,km001,여수 신월,여수 신월(km001),2021-03-23,11.5
남해,km001,여수 신월,여수 신월(km001),2021-03-24,11.7
남해,km001,여수 신월,여수 신월(km001),2021-03-25,12.1
남해,km001,여수 신월,여수 신월(km001),2021-03-26,12.6
남해,km001,여수 신월,여수 신월(km001),2021-03-27,12.9
남해,km001,여수 신월,여수 신월(km001),2021-03-28,13.1
남해,km001,여수 신월,여수 신월(km001),2021-03-29,13.2
남해,km001,여수 신월,여수 신월(km001),2021-03-30,13.2
남해,km001,여수 신월,여수 신월(km001),2021-03-31,13.3
남해,km001,여수 신월,여수 신월(km001),2021-04-01,13.2
남해,km001,여수 신월,여수 신월(km001),2021-04-02,13.2
남해,km001,여수 신월,여수 신월(km001),2021-04-03,13.2
남해,km001,여수 신월,여수 신월(km001),2021-04-04,13.2
남해,km001,여수 신월,여수 신월(km001),2021-04-05,13.2
남해,km001,여수 신월,여수 신월(km001),2021-04-06,13.5
남해,km001,여수 신월,여수 신월(km001),2021-04-07,13.7
남해,km001,여수 신월,여수 신월(km001),2021-04-08,14.3
남해,km001,여수 신월,여수 신월(km001),2021-04-09,14.6
남해,km001,여수 신월,여수 신월(km001),2021-04-10,14.5
남해,km001,여수 신월,여수 신월(km001),2021-04-11,14.5
남해,km001,여수 신월,여수 신월(km001),2021-04-12,14.4
남해,km001,여수 신월,여수 신월(km001),2021-04-13,14.5
남해,km001,여수 신월,여수 신월(km001),2021-04-14,14.1
남해,km001,여수 신월,여수 신월(km001),2021-04-15,14.1
남해,km001,여수 신월,여수 신월(km001),2021-04-16,14.3
남해,km001,여수 신월,여수 신월(km001),2021-04-17,14.7
남해,km001,여수 신월,여수 신월(km001),2021-04-18,
남해,km001,여수 신월,여수 신월(km001),2021-04-19,
남해,km001,여수 신월,여수 신월(km001),2021-04-20,
남해,km001,여수 신월,여수 신월(km001),2021-04-21,14.8
남해,km001,여수 신월,여수 신월(km001),2021-04-22,15.1
남해,km001,여수 신월,여수 신월(km001),2021-04-23,15.3
남해,km001,여수 신월,여수 신월(km001),2021-04-24,15.4
남해,km001,여수 신월,여수 신월(km001),2021-04-25,15.9
남해,km001,여수 신월,여수 신월(km001),2021-04-26,16.1
남해,km001,여수 신월,여수 신월(km001),2021-04-27,16.1
남해,km001,여수 신월,여수 신월(km001),2021-04-28,16.1
남해,km001,여수 신월,여수 신월(km001),2021-04-29,16.4
남해,km001,여수 신월,여수 신월(km001),2021-04-30,16.5
남해,km001,여수 신월,여수 신월(km001),2021-05-01,16.3
남해,km001,여수 신월,여수 신월(km001),2021-05-02,16.0
남해,km001,여수 신월,여수 신월(km001),2021-05-03,16.3
남해,km001,여수 신월,여수 신월(km001),2021-05-04,16.6
남해,km001,여수 신월,여수 신월(km001),2021-05-05,16.9
남해,km001,여수 신월,여수 신월(km001),2021-05-06,17.0
남해,km001,여수 신월,여수 신월(km001),2021-05-07,17.4
남해,km001,여수 신월,여수 신월(km001),2021-05-08,17.6
남해,km001,여수 신월,여수 신월(km001),2021-05-09,17.8
남해,km001,여수 신월,여수 신월(km001),2021-05-10,17.9
남해,km001,여수 신월,여수 신월(km001),2021-05-11,17.7
남해,km001,여수 신월,여수 신월(km001),2021-05-12,17.6
남해,km001,여수 신월,여수 신월(km001),2021-05-13,18.0
남해,km001,여수 신월,여수 신월(km001),2021-05-14,18.5
남해,km001,여수 신월,여수 신월(km001),2021-05-15,18.6
남해,km001,여수 신월,여수 신월(km001),2021-05-16,18.7
남해,km001,여수 신월,여수 신월(km001),2021-05-17,18.8
남해,km001,여수 신월,여수 신월(km001),2021-05-18,19.1
남해,km001,여수 신월,여수 신월(km001),2021-05-19,19.3
남해,km001,여수 신월,여수 신월(km001),2021-05-20,19.4
남해,km001,여수 신월,여수 신월(km001),2021-05-21,19.1
남해,km001,여수 신월,여수 신월(km001),2021-05-22,19.3
남해,km001,여수 신월,여수 신월(km001),2021-05-23,19.8
남해,km001,여수 신월,여수 신월(km001),2021-05-24,20.2
남해,km001,여수 신월,여수 신월(km001),2021-05-25,20.1
남해,km001,여수 신월,여수 신월(km001),2021-05-26,19.8
남해,km001,여수 신월,여수 신월(km001),2021-05-27,19.5
남해,km001,여수 신월,여수 신월(km001),2021-05-28,19.4
남해,km001,여수 신월,여수 신월(km001),2021-05-29,19.4
남해,km001,여수 신월,여수 신월(km001),2021-05-30,19.7
남해,km001,여수 신월,여수 신월(km001),2021-05-31,20.1
남해,km001,여수 신월,여수 신월(km001),2021-06-01,20.2
남해,km001,여수 신월,여수 신월(km001),2021-06-02,20.5
남해,km001,여수 신월,여수 신월(km001),2021-06-03,20.5
남해,km001,여수 신월,여수 신월(km001),2021-06-04,20.6
남해,km001,여수 신월,여수 신월(km001),2021-06-05,21.1
남해,km001,여수 신월,여수 신월(km001),2021-06-06,21.5
남해,km001,여수 신월,여수 신월(km001),2021-06-07,21.9
남해,km001,여수 신월,여수 신월(km001),2021-06-08,22.1
남해,km001,여수 신월,여수 신월(km001),2021-06-09,22.4
남해,km001,여수 신월,여수 신월(km001),2021-06-10,22.4
남해,km001,여수 신월,여수 신월(km001),2021-06-11,22.3
