date,temperature,climatology,anomaly,daily_jump,sustained_ge28,level,level_name,region
2021-01-01,6.5,7.336111111111112,-0.8361111111111121,,False,0.0,평시,완도
2021-01-02,6.8,7.358333333333334,-0.5583333333333345,0.2999999999999998,False,0.0,평시,완도
2021-01-03,6.8,7.352777777777779,-0.5527777777777789,0.0,False,0.0,평시,완도
2021-01-04,7.0,7.322222222222223,-0.32222222222222285,0.20000000000000018,False,0.0,평시,완도
2021-01-05,7.1,7.297142857142857,-0.1971428571428575,0.09999999999999964,False,0.0,평시,완도
2021-01-06,6.5,7.1885714285714295,-0.6885714285714295,-0.5999999999999996,False,0.0,평시,완도
2021-01-07,5.8,7.054285714285714,-1.2542857142857144,-0.7000000000000002,False,0.0,평시,완도
2021-01-08,4.9,6.914285714285715,-2.0142857142857142,-0.8999999999999995,False,0.0,평시,완도
2021-01-09,4.3,6.8028571428571425,-2.5028571428571427,-0.6000000000000005,False,0.0,평시,완도
2021-01-10,4.1,6.765714285714286,-2.6657142857142864,-0.20000000000000018,False,0.0,평시,완도
2021-01-11,4.4,6.811428571428571,-2.411428571428571,0.3000000000000007,False,0.0,평시,완도
2021-01-12,5.0,6.917142857142857,-1.9171428571428573,0.5999999999999996,False,0.0,평시,완도
2021-01-13,6.0,7.031428571428571,-1.0314285714285711,1.0,False,0.0,평시,완도
2021-01-14,7.1,7.145714285714285,-0.045714285714285374,1.0999999999999996,False,0.0,평시,완도
2021-01-15,7.8,7.234285714285715,0.565714285714285,0.7000000000000002,False,0.0,평시,완도
2021-01-16,8.0,7.288571428571429,0.7114285714285709,0.20000000000000018,False,0.0,평시,완도
2021-01-17,7.4,7.268571428571429,0.13142857142857167,-0.5999999999999996,False,0.0,평시,완도
2021-01-18,7.0,7.194285714285714,-0.19428571428571395,-0.40000000000000036,False,0.0,평시,완도
2021-01-19,6.8,7.1171428571428565,-0.3171428571428567,-0.20000000000000018,False,0.0,평시,완도
2021-01-20,6.6,7.0771428571428565,-0.47714285714285687,-0.20000000000000018,False,0.0,평시,완도
2021-01-21,6.8,7.034285714285714,-0.234285714285714,0.20000000000000018,False,0.0,평시,완도
2021-01-22,7.1,6.999999999999999,0.10000000000000053,0.2999999999999998,False,0.0,평시,완도
2021-01-23,7.5,6.991428571428571,0.5085714285714289,0.40000000000000036,False,0.0,평시,완도
2021-01-24,7.9,7.0,0.9000000000000004,0.40000000000000036,False,0.0,평시,완도
2021-01-25,8.2,6.991428571428572,1.2085714285714273,0.29999999999999893,False,0.0,평시,완도
2021-01-26,8.3,6.931428571428572,1.3685714285714283,0.10000000000000142,False,0.0,평시,완도
2021-01-27,8.3,6.851428571428571,1.4485714285714293,0.0,False,0.0,평시,완도
2021-01-28,8.1,6.828571428571428,1.2714285714285714,-0.20000000000000107,False,0.0,평시,완도
2021-01-29,7.3,6.8742857142857146,0.42571428571428527,-0.7999999999999998,False,0.0,평시,완도
2021-01-30,7.2,6.897142857142858,0.3028571428571425,-0.09999999999999964,False,0.0,평시,완도
2021-01-31,7.7,6.897142857142858,0.8028571428571425,0.5,False,0.0,평시,완도
2021-02-01,8.3,6.902857142857143,1.3971428571428577,0.6000000000000005,False,0.0,평시,완도
2021-02-02,8.0,6.920000000000001,1.0799999999999992,-0.3000000000000007,False,0.0,평시,완도
2021-02-03,7.7,6.917142857142858,0.782857142857142,-0.2999999999999998,False,0.0,평시,완도
2021-02-04,7.7,6.897142857142858,0.8028571428571425,0.0,False,0.0,평시,완도
2021-02-05,7.5,6.817142857142856,0.6828571428571442,-0.20000000000000018,False,0.0,평시,완도
2021-02-06,7.3,6.722857142857143,0.5771428571428565,-0.20000000000000018,False,0.0,평시,완도
