region,year,경보,주의보,판정불가,평시
남해군,2021,14,13,40,298
남해군,2022,0,4,3,358
남해군,2023,0,7,0,358
남해군,2024,34,4,0,328
남해군,2025,0,7,0,358
남해군,2026,0,0,0,1
여수,2021,15,7,3,340
여수,2022,2,5,17,341
여수,2023,0,1,30,334
여수,2024,35,16,0,315
여수,2025,6,2,28,329
여수,2026,0,0,0,1
완도,2021,10,8,25,322
완도,2022,0,1,35,329
완도,2023,12,13,0,340
완도,2024,30,22,3,311
완도,2025,11,8,17,329
완도,2026,0,0,0,1
통영,2021,6,16,0,343
통영,2022,0,0,0,365
통영,2023,2,12,3,348
통영,2024,20,31,0,315
통영,2025,4,9,0,352
통영,2026,0,0,0,1
