obsrvnGroupNm,obsvtrCd,obsvtrKornNm,staNam,obsrvnDt,wtemM,wtemS
남해,fnm5b,남해 미조,남해 미조(fnm5b),2025-01-01,11.3,11.3
남해,fnm5b,남해 미조,남해 미조(fnm5b),2025-01-02,11.3,11.3
남해,fnm5b,남해 미조,남해 미조(fnm5b),2025-01-03,11.1,11.1
남해,fnm5b,남해 미조,남해 미조(fnm5b),2025-01-04,10.9,10.9
남해,fnm5b,남해 미조,남해 미조(fnm5b),2025-01-05,10.9,10.9
남해,fnm5b,남해 미조,남해 미조(fnm5b),2025-01-06,10.8,10.8
남해,fnm5b,남해 미조,남해 미조(fnm5b),2025-01-07,10.7,10.7
남해,fnm5b,남해 미조,남해 미조(fnm5b),2025-01-08,10.8,10.8
남해,fnm5b,남해 미조,남해 미조(fnm5b),2025-01-09,10.5,10.6
남해,fnm5b,남해 미조,남해 미조(fnm5b),2025-01-10,10.4,10.4
남해,fnm5b,남해 미조,남해 미조(fnm5b),2025-01-11,10.5,10.6
남해,fnm5b,남해 미조,남해 미조(fnm5b),2025-01-12,10.4,10.5
남해,fnm5b,남해 미조,남해 미조(fnm5b),2025-01-13,10.3,10.4
남해,fnm5b,남해 미조,남해 미조(fnm5b),2025-01-14,10.3,10.3
남해,fnm5b,남해 미조,남해 미조(fnm5b),2025-01-15,10.2,10.2
남해,fnm5b,남해 미조,남해 미조(fnm5b),2025-01-16,10.0,10.0
남해,fnm5b,남해 미조,남해 미조(fnm5b),2025-01-17,9.9,9.9
남해,fnm5b,남해 미조,남해 미조(fnm5b),2025-01-18,9.9,9.9
남해,fnm5b,남해 미조,남해 미조(fnm5b),2025-01-19,9.8,9.9
남해,fnm5b,남해 미조,남해 미조(fnm5b),2025-01-20,9.8,9.9
남해,fnm5b,남해 미조,남해 미조(fnm5b),2025-01-21,9.8,9.8
남해,fnm5b,남해 미조,남해 미조(fnm5b),2025-01-22,9.8,9.8
남해,fnm5b,남해 미조,남해 미조(fnm5b),2025-01-23,9.8,9.8
남해,fnm5b,남해 미조,남해 미조(fnm5b),2025-01-24,9.8,9.8
남해,fnm5b,남해 미조,남해 미조(fnm5b),2025-01-25,9.8,9.8
남해,fnm5b,남해 미조,남해 미조(fnm5b),2025-01-26,9.6,9.6
남해,fnm5b,남해 미조,남해 미조(fnm5b),2025-01-27,9.5,9.5
남해,fnm5b,남해 미조,남해 미조(fnm5b),2025-01-28,9.3,9.3
남해,fnm5b,남해 미조,남해 미조(fnm5b),2025-01-29,9.0,9.0
남해,fnm5b,남해 미조,남해 미조(fnm5b),2025-01-30,8.9,8.9
남해,fnm5b,남해 미조,남해 미조(fnm5b),2025-01-31,8.8,8.9
