obsrvnGroupNm,obsvtrCd,obsvtrKornNm,staNam,obsrvnDt,wtemM,wtemS
남해,fnm5b,남해 미조,남해 미조(fnm5b),2022-01-01,11.0,11.0
남해,fnm5b,남해 미조,남해 미조(fnm5b),2022-01-02,11.2,11.2
남해,fnm5b,남해 미조,남해 미조(fnm5b),2022-01-03,11.3,11.2
남해,fnm5b,남해 미조,남해 미조(fnm5b),2022-01-04,11.2,11.1
남해,fnm5b,남해 미조,남해 미조(fnm5b),2022-01-05,11.0,11.0
남해,fnm5b,남해 미조,남해 미조(fnm5b),2022-01-06,10.9,10.8
남해,fnm5b,남해 미조,남해 미조(fnm5b),2022-01-07,10.8,10.7
남해,fnm5b,남해 미조,남해 미조(fnm5b),2022-01-08,10.8,10.7
남해,fnm5b,남해 미조,남해 미조(fnm5b),2022-01-09,10.8,10.7
남해,fnm5b,남해 미조,남해 미조(fnm5b),2022-01-10,10.6,10.6
남해,fnm5b,남해 미조,남해 미조(fnm5b),2022-01-11,10.3,10.2
남해,fnm5b,남해 미조,남해 미조(fnm5b),2022-01-12,9.8,9.7
남해,fnm5b,남해 미조,남해 미조(fnm5b),2022-01-13,9.7,9.6
남해,fnm5b,남해 미조,남해 미조(fnm5b),2022-01-14,9.5,9.5
남해,fnm5b,남해 미조,남해 미조(fnm5b),2022-01-15,9.7,9.7
남해,fnm5b,남해 미조,남해 미조(fnm5b),2022-01-16,10.1,10.2
남해,fnm5b,남해 미조,남해 미조(fnm5b),2022-01-17,10.3,10.4
남해,fnm5b,남해 미조,남해 미조(fnm5b),2022-01-18,11.1,11.1
남해,fnm5b,남해 미조,남해 미조(fnm5b),2022-01-19,11.0,10.9
남해,fnm5b,남해 미조,남해 미조(fnm5b),2022-01-20,10.8,10.7
남해,fnm5b,남해 미조,남해 미조(fnm5b),2022-01-21,10.8,10.7
남해,fnm5b,남해 미조,남해 미조(fnm5b),2022-01-22,10.7,10.7
남해,fnm5b,남해 미조,남해 미조(fnm5b),2022-01-23,10.8,10.7
남해,fnm5b,남해 미조,남해 미조(fnm5b),2022-01-24,10.7,10.6
남해,fnm5b,남해 미조,남해 미조(fnm5b),2022-01-25,10.6,10.5
남해,fnm5b,남해 미조,남해 미조(fnm5b),2022-01-26,10.5,10.4
