obsrvnGroupNm,obsvtrCd,obsvtrKornNm,staNam,obsrvnDt,wtemM,wtemS
남해,fnm5b,남해 미조,남해 미조(fnm5b),2024-01-02,10.9,10.9
남해,fnm5b,남해 미조,남해 미조(fnm5b),2024-01-03,10.8,10.8
남해,fnm5b,남해 미조,남해 미조(fnm5b),2024-01-04,10.7,10.7
남해,fnm5b,남해 미조,남해 미조(fnm5b),2024-01-05,10.6,10.6
남해,fnm5b,남해 미조,남해 미조(fnm5b),2024-01-06,10.5,10.6
남해,fnm5b,남해 미조,남해 미조(fnm5b),2024-01-07,10.4,10.4
남해,fnm5b,남해 미조,남해 미조(fnm5b),2024-01-08,10.3,10.3
남해,fnm5b,남해 미조,남해 미조(fnm5b),2024-01-09,10.2,10.2
남해,fnm5b,남해 미조,남해 미조(fnm5b),2024-01-10,10.3,10.3
남해,fnm5b,남해 미조,남해 미조(fnm5b),2024-01-11,10.2,10.2
남해,fnm5b,남해 미조,남해 미조(fnm5b),2024-01-12,10.1,10.1
남해,fnm5b,남해 미조,남해 미조(fnm5b),2024-01-13,10.0,10.0
남해,fnm5b,남해 미조,남해 미조(fnm5b),2024-01-14,10.0,10.0
남해,fnm5b,남해 미조,남해 미조(fnm5b),2024-01-15,9.9,9.9
남해,fnm5b,남해 미조,남해 미조(fnm5b),2024-01-16,9.8,9.8
남해,fnm5b,남해 미조,남해 미조(fnm5b),2024-01-17,9.8,9.8
남해,fnm5b,남해 미조,남해 미조(fnm5b),2024-01-18,9.8,9.8
남해,fnm5b,남해 미조,남해 미조(fnm5b),2024-01-19,9.8,9.8
남해,fnm5b,남해 미조,남해 미조(fnm5b),2024-01-20,9.6,9.6
남해,fnm5b,남해 미조,남해 미조(fnm5b),2024-01-21,9.4,9.5
남해,fnm5b,남해 미조,남해 미조(fnm5b),2024-01-22,9.4,9.4
남해,fnm5b,남해 미조,남해 미조(fnm5b),2024-01-23,9.5,9.5
남해,fnm5b,남해 미조,남해 미조(fnm5b),2024-01-24,9.2,9.3
남해,fnm5b,남해 미조,남해 미조(fnm5b),2024-01-25,8.9,8.9
남해,fnm5b,남해 미조,남해 미조(fnm5b),2024-01-26,8.7,8.7
남해,fnm5b,남해 미조,남해 미조(fnm5b),2024-01-27,8.8,8.8
남해,fnm5b,남해 미조,남해 미조(fnm5b),2024-01-28,8.9,8.9
남해,fnm5b,남해 미조,남해 미조(fnm5b),2024-01-29,9.0,9.2
남해,fnm5b,남해 미조,남해 미조(fnm5b),2024-01-30,9.2,9.3
남해,fnm5b,남해 미조,남해 미조(fnm5b),2024-01-31,9.5,9.8
남해,fnm5b,남해 미조,남해 미조(fnm5b),2024-02-01,9.8,9.9
남해,fnm5b,남해 미조,남해 미조(fnm5b),2024-02-02,9.7,9.7
남해,fnm5b,남해 미조,남해 미조(fnm5b),2024-02-03,9.6,9.6
남해,fnm5b,남해 미조,남해 미조(fnm5b),2024-02-04,9.3,9.3
남해,fnm5b,남해 미조,남해 미조(fnm5b),2024-02-05,9.2,9.1
남해,fnm5b,남해 미조,남해 미조(fnm5b),2024-02-06,9.0,8.9
남해,fnm5b,남해 미조,남해 미조(fnm5b),2024-02-07,9.4,9.2
남해,fnm5b,남해 미조,남해 미조(fnm5b),2024-02-08,8.9,8.8
남해,fnm5b,남해 미조,남해 미조(fnm5b),2024-02-09,8.8,8.6
남해,fnm5b,남해 미조,남해 미조(fnm5b),2024-02-10,8.9,8.8
남해,fnm5b,남해 미조,남해 미조(fnm5b),2024-02-11,9.2,9.1
남해,fnm5b,남해 미조,남해 미조(fnm5b),2024-02-12,9.4,9.4
남해,fnm5b,남해 미조,남해 미조(fnm5b),2024-02-13,9.4,9.3
남해,fnm5b,남해 미조,남해 미조(fnm5b),2024-02-14,9.5,9.5
남해,fnm5b,남해 미조,남해 미조(fnm5b),2024-02-15,9.4,9.3
남해,fnm5b,남해 미조,남해 미조(fnm5b),2024-02-16,9.0,8.9
남해,fnm5b,남해 미조,남해 미조(fnm5b),2024-02-17,9.0,8.9
남해,fnm5b,남해 미조,남해 미조(fnm5b),2024-02-18,9.1,9.0
남해,fnm5b,남해 미조,남해 미조(fnm5b),2024-02-19,9.2,9.2
남해,fnm5b,남해 미조,남해 미조(fnm5b),2024-02-20,9.2,9.2
남해,fnm5b,남해 미조,남해 미조(fnm5b),2024-02-21,9.2,9.2
남해,fnm5b,남해 미조,남해 미조(fnm5b),2024-02-22,9.0,9.0
남해,fnm5b,남해 미조,남해 미조(fnm5b),2024-02-23,9.0,8.9
남해,fnm5b,남해 미조,남해 미조(fnm5b),2024-02-24,8.9,8.9
남해,fnm5b,남해 미조,남해 미조(fnm5b),2024-02-25,8.9,8.8
남해,fnm5b,남해 미조,남해 미조(fnm5b),2024-02-26,9.0,8.9
남해,fnm5b,남해 미조,남해 미조(fnm5b),2024-02-27,9.1,9.1
남해,fnm5b,남해 미조,남해 미조(fnm5b),2024-02-28,9.0,9.0
남해,fnm5b,남해 미조,남해 미조(fnm5b),2024-02-29,9.1,9.1
남해,fnm5b,남해 미조,남해 미조(fnm5b),2024-03-01,9.4,9.1
남해,fnm5b,남해 미조,남해 미조(fnm5b),2024-03-02,9.4,9.3
남해,fnm5b,남해 미조,남해 미조(fnm5b),2024-03-03,9.7,9.5
남해,fnm5b,남해 미조,남해 미조(fnm5b),2024-03-04,9.7,9.5
남해,fnm5b,남해 미조,남해 미조(fnm5b),2024-03-05,9.1,9.0
남해,fnm5b,남해 미조,남해 미조(fnm5b),2024-03-06,9.2,9.1
남해,fnm5b,남해 미조,남해 미조(fnm5b),2024-03-07,9.7,9.5
남해,fnm5b,남해 미조,남해 미조(fnm5b),2024-03-08,9.8,9.5
남해,fnm5b,남해 미조,남해 미조(fnm5b),2024-03-09,9.8,9.6
남해,fnm5b,남해 미조,남해 미조(fnm5b),2024-03-10,9.8,9.7
남해,fnm5b,남해 미조,남해 미조(fnm5b),2024-03-11,9.8,9.7
남해,fnm5b,남해 미조,남해 미조(fnm5b),2024-03-12,9.8,9.8
남해,fnm5b,남해 미조,남해 미조(fnm5b),2024-03-13,9.9,9.8
남해,fnm5b,남해 미조,남해 미조(fnm5b),2024-03-14,10.2,9.9
남해,fnm5b,남해 미조,남해 미조(fnm5b),2024-03-15,10.2,10.1
남해,fnm5b,남해 미조,남해 미조(fnm5b),2024-03-16,10.2,10.2
남해,fnm5b,남해 미조,남해 미조(fnm5b),2024-03-17,10.4,10.4
남해,fnm5b,남해 미조,남해 미조(fnm5b),2024-03-18,10.6,10.7
남해,fnm5b,남해 미조,남해 미조(fnm5b),2024-03-19,10.8,10.7
남해,fnm5b,남해 미조,남해 미조(fnm5b),2024-03-20,10.8,10.8
남해,fnm5b,남해 미조,남해 미조(fnm5b),2024-03-21,10.8,10.8
남해,fnm5b,남해 미조,남해 미조(fnm5b),2024-03-22,10.8,10.9
남해,fnm5b,남해 미조,남해 미조(fnm5b),2024-03-23,11.1,11.1
남해,fnm5b,남해 미조,남해 미조(fnm5b),2024-03-24,11.3,11.3
남해,fnm5b,남해 미조,남해 미조(fnm5b),2024-03-25,11.3,11.3
남해,fnm5b,남해 미조,남해 미조(fnm5b),2024-03-26,11.2,11.2
남해,fnm5b,남해 미조,남해 미조(fnm5b),2024-03-27,11.3,11.3
남해,fnm5b,남해 미조,남해 미조(fnm5b),2024-03-28,11.3,11.4
남해,fnm5b,남해 미조,남해 미조(fnm5b),2024-03-29,11.3,11.4
남해,fnm5b,남해 미조,남해 미조(fnm5b),2024-03-30,11.3,11.4
남해,fnm5b,남해 미조,남해 미조(fnm5b),2024-03-31,11.4,11.6
남해,fnm5b,남해 미조,남해 미조(fnm5b),2024-04-01,11.5,11.7
남해,fnm5b,남해 미조,남해 미조(fnm5b),2024-04-02,11.6,11.9
남해,fnm5b,남해 미조,남해 미조(fnm5b),2024-04-03,11.9,12.5
남해,fnm5b,남해 미조,남해 미조(fnm5b),2024-04-04,11.9,12.6
남해,fnm5b,남해 미조,남해 미조(fnm5b),2024-04-05,12.2,13.0
남해,fnm5b,남해 미조,남해 미조(fnm5b),2024-04-06,12.1,12.8
남해,fnm5b,남해 미조,남해 미조(fnm5b),2024-04-07,12.3,12.9
남해,fnm5b,남해 미조,남해 미조(fnm5b),2024-04-08,12.6,13.2
남해,fnm5b,남해 미조,남해 미조(fnm5b),2024-04-09,12.8,13.1
남해,fnm5b,남해 미조,남해 미조(fnm5b),2024-04-10,13.0,13.3
남해,fnm5b,남해 미조,남해 미조(fnm5b),2024-04-11,13.1,13.3
남해,fnm5b,남해 미조,남해 미조(fnm5b),2024-04-12,13.3,13.4
남해,fnm5b,남해 미조,남해 미조(fnm5b),2024-04-13,13.4,13.7
남해,fnm5b,남해 미조,남해 미조(fnm5b),2024-04-14,13.6,14.0
남해,fnm5b,남해 미조,남해 미조(fnm5b),2024-04-15,13.7,14.1
남해,fnm5b,남해 미조,남해 미조(fnm5b),2024-04-16,13.8,14.0
남해,fnm5b,남해 미조,남해 미조(fnm5b),2024-04-17,13.7,14.1
남해,fnm5b,남해 미조,남해 미조(fnm5b),2024-04-18,13.7,14.3
남해,fnm5b,남해 미조,남해 미조(fnm5b),2024-04-19,13.6,14.1
남해,fnm5b,남해 미조,남해 미조(fnm5b),2024-04-20,13.8,14.5
남해,fnm5b,남해 미조,남해 미조(fnm5b),2024-04-21,13.9,14.9
남해,fnm5b,남해 미조,남해 미조(fnm5b),2024-04-22,14.1,15.0
남해,fnm5b,남해 미조,남해 미조(fnm5b),2024-04-23,14.4,15.0
남해,fnm5b,남해 미조,남해 미조(fnm5b),2024-04-24,14.2,14.9
남해,fnm5b,남해 미조,남해 미조(fnm5b),2024-04-25,14.7,15.0
남해,fnm5b,남해 미조,남해 미조(fnm5b),2024-04-26,14.8,15.1
남해,fnm5b,남해 미조,남해 미조(fnm5b),2024-04-27,14.9,15.3
남해,fnm5b,남해 미조,남해 미조(fnm5b),2024-04-28,14.9,15.4
남해,fnm5b,남해 미조,남해 미조(fnm5b),2024-04-29,15.3,15.9
남해,fnm5b,남해 미조,남해 미조(fnm5b),2024-04-30,15.4,15.8
남해,fnm5b,남해 미조,남해 미조(fnm5b),2024-05-01,15.5,16.0
남해,fnm5b,남해 미조,남해 미조(fnm5b),2024-05-02,15.6,16.0
남해,fnm5b,남해 미조,남해 미조(fnm5b),2024-05-03,15.5,16.0
남해,fnm5b,남해 미조,남해 미조(fnm5b),2024-05-04,15.8,16.4
남해,fnm5b,남해 미조,남해 미조(fnm5b),2024-05-05,15.9,16.4
