obsrvnGroupNm,obsvtrCd,obsvtrKornNm,staNam,obsrvnDt,wtemM,wtemS
남해,fnm5b,남해 미조,남해 미조(fnm5b),2021-01-01,10.5,10.4
남해,fnm5b,남해 미조,남해 미조(fnm5b),2021-01-02,10.2,10.2
남해,fnm5b,남해 미조,남해 미조(fnm5b),2021-01-03,10.2,10.2
남해,fnm5b,남해 미조,남해 미조(fnm5b),2021-01-04,10.1,10.1
남해,fnm5b,남해 미조,남해 미조(fnm5b),2021-01-05,10.1,10.1
남해,fnm5b,남해 미조,남해 미조(fnm5b),2021-01-06,9.8,9.8
남해,fnm5b,남해 미조,남해 미조(fnm5b),2021-01-07,9.4,9.4
남해,fnm5b,남해 미조,남해 미조(fnm5b),2021-01-08,9.2,9.2
남해,fnm5b,남해 미조,남해 미조(fnm5b),2021-01-09,9.0,9.0
남해,fnm5b,남해 미조,남해 미조(fnm5b),2021-01-10,8.8,8.8
남해,fnm5b,남해 미조,남해 미조(fnm5b),2021-01-11,8.7,8.6
남해,fnm5b,남해 미조,남해 미조(fnm5b),2021-01-12,8.5,8.5
남해,fnm5b,남해 미조,남해 미조(fnm5b),2021-01-13,8.6,8.6
남해,fnm5b,남해 미조,남해 미조(fnm5b),2021-01-14,8.6,8.7
남해,fnm5b,남해 미조,남해 미조(fnm5b),2021-01-15,8.8,8.9
남해,fnm5b,남해 미조,남해 미조(fnm5b),2021-01-16,8.9,8.9
남해,fnm5b,남해 미조,남해 미조(fnm5b),2021-01-17,8.9,8.8
남해,fnm5b,남해 미조,남해 미조(fnm5b),2021-01-18,8.9,8.9
남해,fnm5b,남해 미조,남해 미조(fnm5b),2021-01-19,8.8,8.9
남해,fnm5b,남해 미조,남해 미조(fnm5b),2021-01-20,9.0,9.2
남해,fnm5b,남해 미조,남해 미조(fnm5b),2021-01-21,9.4,9.5
남해,fnm5b,남해 미조,남해 미조(fnm5b),2021-01-22,9.7,9.7
남해,fnm5b,남해 미조,남해 미조(fnm5b),2021-01-23,9.8,9.8
남해,fnm5b,남해 미조,남해 미조(fnm5b),2021-01-24,9.7,9.7
남해,fnm5b,남해 미조,남해 미조(fnm5b),2021-01-25,9.4,9.4
남해,fnm5b,남해 미조,남해 미조(fnm5b),2021-01-26,9.5,9.5
남해,fnm5b,남해 미조,남해 미조(fnm5b),2021-01-27,9.4,9.4
남해,fnm5b,남해 미조,남해 미조(fnm5b),2021-01-28,9.2,9.1
남해,fnm5b,남해 미조,남해 미조(fnm5b),2021-01-29,9.0,9.0
남해,fnm5b,남해 미조,남해 미조(fnm5b),2021-01-30,9.0,9.0
남해,fnm5b,남해 미조,남해 미조(fnm5b),2021-01-31,8.8,8.8
남해,fnm5b,남해 미조,남해 미조(fnm5b),2021-02-01,8.7,8.7
남해,fnm5b,남해 미조,남해 미조(fnm5b),2021-02-02,8.5,8.4
남해,fnm5b,남해 미조,남해 미조(fnm5b),2021-02-03,8.2,8.2
남해,fnm5b,남해 미조,남해 미조(fnm5b),2021-02-04,8.2,8.3
남해,fnm5b,남해 미조,남해 미조(fnm5b),2021-02-05,8.3,8.3
남해,fnm5b,남해 미조,남해 미조(fnm5b),2021-02-06,8.2,8.2
남해,fnm5b,남해 미조,남해 미조(fnm5b),2021-02-07,7.9,7.9
남해,fnm5b,남해 미조,남해 미조(fnm5b),2021-02-08,7.8,7.8
남해,fnm5b,남해 미조,남해 미조(fnm5b),2021-02-09,7.8,7.9
남해,fnm5b,남해 미조,남해 미조(fnm5b),2021-02-10,8.9,8.9
남해,fnm5b,남해 미조,남해 미조(fnm5b),2021-02-11,9.0,9.1
남해,fnm5b,남해 미조,남해 미조(fnm5b),2021-02-12,9.4,9.5
남해,fnm5b,남해 미조,남해 미조(fnm5b),2021-02-13,9.5,9.6
남해,fnm5b,남해 미조,남해 미조(fnm5b),2021-02-14,9.5,9.4
남해,fnm5b,남해 미조,남해 미조(fnm5b),2021-02-15,9.5,9.2
남해,fnm5b,남해 미조,남해 미조(fnm5b),2021-02-16,9.5,9.5
남해,fnm5b,남해 미조,남해 미조(fnm5b),2021-02-17,9.3,9.3
남해,fnm5b,남해 미조,남해 미조(fnm5b),2021-02-18,9.1,9.1
